5d6.(5D).6s           | a 6D   |  9/2 |               0.00    |     L3466
                      |        |  7/2 |            3593.15    |          
                      |        |  5/2 |            3928.94    |          
                      |        |  3/2 |            5592.05    |          
                      |        |  1/2 |            6636.57    |          
                      |        |      |                       |           
                      | 7891   |  5/2 |            7891.93    |          
                      |        |      |                       |           
                      | 1145   |  7/2 |           11459.90    |          
                      |        |      |                       |           
                      | 1165   |  5/2 |           11654.08    |          
                      |        |      |                       |           
                      | 1313   |  3/2 |           13136.61    |          
                      |        |      |                       |           
                      | 1320   |  7/2 |           13203.88    |          
                      |        |      |                       |           
                      | 1341   |  5/2 |           13414.80    |          
                      |        |      |                       |           
                      | 1560   |  9/2 |           15605.58    |          
                      |        |      |                       |           
                      | 1724   |  7/2 |           17242.26    |          
                      |        |      |                       |           
                      | 1742   |  3/2 |           17424.39    |          
                      |        |      |                       |           
                      | 1756   |  5/2 |           17569.40    |          
                      |        |      |                       |           
                      | 1768   | 11/2 |           17688.64    |          
                      |        |      |                       |           
                      | 1959   |  5/2 |           19590.91    |          
                      |        |      |                       |           
                      | 1998   |  7/2 |           19985.93    |          
                      |        |      |                       |           
                      | 2159   |  9/2 |           21590.81    |          
                      |        |      |                       |           
                      | 2446   |  5/2 |           24465.66    |          
                      |        |      |                       |           
                      | 2498   |  7/2 |           24980.73    |          
                      |        |      |                       |           
                      | 2545   |  5/2 |           25452.13    |          
                      |        |      |                       |           
                      | 3732*  |  5/2 |           37321.53    |          
                      |        |      |                       |           
                      | 3938*  |  7/2 |           39389.49    |          
                      |        |      |                       |           
5d6.(5D).6p           | z 6D*  |  7/2 |           43802.36    |          
                      |        |  9/2 |           44315.40    |          
                      |        |  3/2 |           46157.19    |          
                      |        |  5/2 |           46373.51    |          
                      |        |  1/2 |           48128.08    |          
                      |        |      |                       |           
                      | 4879*  |  5/2 |           48798.70    |          
                      |        |      |                       |           
                      | 4914*  |  7/2 |           49149.39    |          
                      |        |      |                       |           
                      | 5195*  |  9/2 |           51951.61    |          
                      |        |      |                       |           
                      | 5220*  |  7/2 |           52206.48    |          
                      |        |      |                       |           
                      | 5437*  |  7/2 |           54379.27    |          
                      |        |      |                       |           
                      | 5444*  |  5/2 |           54445.19    |          
                      |        |      |                       |           
                      | 5553*  |  5/2 |           55538.65    |          
                      |        |      |                       |           
                      | 5563*  |  3/2 |           55635.92    |          
                      |        |      |                       |           
                      | 5679*  |  7/2 |           56791.35    |          
                      |        |      |                       |           
                      | 5740*  |  7/2 |           57402.59    |          
