3s2.3p3            | 4S*    |  3/2 |              0.00     |     L7147
                   |        |      |                       |           
3s2.3p3            | 2D*    |  3/2 |          11361.02     |          
                   |        |  5/2 |          11376.63     |          
                   |        |      |                       |           
3s2.3p3            | 2P*    |  1/2 |          18722.71     |          
                   |        |  3/2 |          18748.01     |          
                   |        |      |                       |           
3s2.3p2.(3P).4s    | 4P     |  1/2 |          55939.421    |          
                   |        |  3/2 |          56090.626    |          
                   |        |  5/2 |          56339.656    |          
                   |        |      |                       |           
3s2.3p2.(3P).4s    | 2P     |  1/2 |          57876.574    |          
                   |        |  3/2 |          58174.366    |          
                   |        |      |                       |           
3s.3p4             | 4P     |  5/2 |          59534.549    |          
                   |        |  3/2 |          59715.921    |          
                   |        |  1/2 |          59820.371    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 2S*    |  1/2 |          64239.591    |          
                   |        |      |                       |           
3s2.3p2.(1D).4s    | 2D     |  3/2 |          65156.242    |          
                   |        |  5/2 |          65157.126    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 4D*    |  1/2 |          65373.556    |          
                   |        |  3/2 |          65450.125    |          
                   |        |  5/2 |          65585.130    |          
                   |        |  7/2 |          65788.455    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 4P*    |  1/2 |          66343.438    |          
                   |        |  3/2 |          66360.282    |          
                   |        |  5/2 |          66544.243    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 2D*    |  3/2 |          66813.271    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 4S*    |  3/2 |          66834.648    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 2D*    |  5/2 |          67113.870    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 2P     |  3/2 |          67909.136    |          
                   |        |      |                       |           
3s2.3p2.(3P).4p    | 2P*    |  1/2 |          67971.072    |          
                   |        |  3/2 |          68088.076    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 2P     |  1/2 |          68126.607    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 4F     |  3/2 |          68183.186    |          
                   |        |  5/2 |          68262.151    |          
                   |        |  7/2 |          68377.472    |          
                   |        |  9/2 |          68532.653    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 4D     |  1/2 |          69878.033    |          
                   |        |  3/2 |          69894.307    |          
                   |        |  5/2 |          69924.453    |          
                   |        |  7/2 |          69980.077    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 2F     |  5/2 |          70391.801    |          
                   |        |  7/2 |          70689.504    |          
                   |        |      |                       |           
3s.3p4             | 2D     |  5/2 |          71168.229    |          
                   |        |  3/2 |          71202.979    |          
                   |        |      |                       |           
3s2.3p2.(3P).5s    | 4P     |  1/2 |          72378.000    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 4P     |  5/2 |          72386.347    |          
                   |        |  3/2 |          72493.806    |          
                   |        |      |                       |           
3s2.3p2.(3P).5s    | 4P     |  3/2 |          72572.400    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 4P     |  1/2 |          72617.789    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 2D     |  3/2 |          72741.808    |          
                   |        |      |                       |           
3s2.3p2.(3P).5s    | 4P     |  5/2 |          72807.203    |          
                   |        |      |                       |           
3s2.3p2.(3P).3d    | 2D     |  5/2 |          72884.865    |          
                   |        |      |                       |           
3s2.3p2.(3P).5s    | 2P     |  1/2 |          72943.803    |          
                   |        |  3/2 |          73249.806    |          
                   |        |      |                       |           
3s2.3p2.(1D).4p    | 2D*    |  3/2 |          74271.699    |          
                   |        |  5/2 |          74301.473    |          
                   |        |      |                       |           
3s2.3p2.(1D).4p    | 2F*    |  5/2 |          74717.628    |          
                   |        |  7/2 |          74739.786    |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 2S*    |  1/2 |          75104.423    |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 4D*    |  1/2 |          75291.257    |          
                   |        |  3/2 |          75351.512    |          
                   |        |      |                       |           
3s2.3p2.(1D).4p    | 2P*    |  1/2 |          75455.774    |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 4D*    |  5/2 |          75484.459    |          
                   |        |      |                       |           
3s2.3p2.(1D).4p    | 2P*    |  3/2 |          75488.904    |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 2P     |  3/2 |          75676.09     |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 4P*    |  3/2 |          75689.282    |          
                   |        |  1/2 |          75699.831    |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 4D*    |  7/2 |          75705.601    |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 2P     |  1/2 |          75813.72     |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 2F     |  5/2 |          75833.18     |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 4P*    |  5/2 |          75905.112    |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 4F     |  3/2 |          75949.47     |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 2F     |  7/2 |          75956.87     |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 4S*    |  3/2 |          76021.601    |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 4F     |  5/2 |          76045.99     |          
                   |        |  7/2 |          76173.35     |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 2D*    |  3/2 |          76192.199    |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 4F     |  9/2 |          76318.01     |          
                   |        |      |                       |           
3s2.3p2.(3P).5p    | 2D*    |  5/2 |          76425.224    |          
                   |        |      |                       |           
3s2.3p2.(3P).4d    | 4D     |  1/2 |          76566.49     |          
                   |        |  3/2 |          76585.71     |          
                   |        |  5/2 |          76627.90     |          
                   |        |  7/2 |          76709.42     |          
                   |        |      |                       |           
