2p6.3s2           | 1S      |   0 |               0.00    |     L7147
                  |         |     |                       |           
3s.3p             | 3P*     |   0 |           67918.03    |          
                  |         |   1 |           68146.48    |          
                  |         |   2 |           68615.17    |          
                  |         |     |                       |           
3s.3p             | 1P*     |   1 |          105190.42    |          
                  |         |     |                       |           
3p2               | 1D      |   2 |          158141.82    |          
                  |         |     |                       |           
3p2               | 3P      |   0 |          164941.44    |          
                  |         |   1 |          165185.39    |          
                  |         |   2 |          165654.04    |          
                  |         |     |                       |           
3s.3d             | 3D      |   3 |          189398.13    |          
                  |         |   2 |          189398.13    |          
                  |         |   1 |          189398.13    |          
                  |         |     |                       |           
3p2               | 1S      |   0 |          194591.75    |          
                  |         |     |                       |           
3s.3d             | 1D      |   2 |          219153.88    |          
                  |         |     |                       |           
3s.4s             | 3S      |   1 |          226898.14    |          
                  |         |     |                       |           
3s.4s             | 1S      |   0 |          233997.96    |          
                  |         |     |                       |           
3s.4p             | 3P*     |   0 |          256553.36    |          
                  |         |   1 |          256611.97    |          
                  |         |   2 |          256760.46    |          
                  |         |     |                       |           
3s.4p             | 1P*     |   1 |          257522.66    |          
                  |         |     |                       |           
3p.3d             | 3F*     |   2 |          262005.27    |          
                  |         |   3 |          262248.46    |          
                  |         |   4 |          262567.20    |          
                  |         |     |                       |           
3p.3d             | 1D*     |   2 |          267015.23    |          
                  |         |     |                       |           
3p.3d             | 3P*     |   2 |          281020.00    |          
                  |         |   1 |          281257.85    |          
                  |         |   0 |          281399.92    |          
                  |         |     |                       |           
3p.3d             | 3D*     |   1 |          283150.04    |          
                  |         |   2 |          283246.87    |          
                  |         |   3 |          283329.08    |          
                  |         |     |                       |           
3s.4f             | 1F*     |   3 |          290327.71    |          
                  |         |     |                       |           
3s.4d             | 3D      |   1 |          293242.94    |          
                  |         |   2 |          293247.69    |          
                  |         |   3 |          293255.27    |          
                  |         |     |                       |           
3s.4d             | 1D      |   2 |          295328.63    |          
                  |         |     |                       |           
3s.4f             | 3F*     |   2 |          303660.64    |          
                  |         |   3 |          303665.80    |          
                  |         |   4 |          303672.49    |          
                  |         |     |                       |           
3p.3d             | 1P*     |   1 |          307083.34    |          
                  |         |     |                       |           
3s.5s             | 3S      |   1 |          309111.44    |          
                  |         |     |                       |           
3s.5s             | 1S      |   0 |          311183.04    |          
                  |         |     |                       |           
3p.3d             | 1F*     |   3 |          314423.69    |          
                  |         |     |                       |           
3s.5p             | 1P*     |   1 |          316888.09    |          
                  |         |     |                       |           
3p.4s             | 3P*     |   0 |          317675.35    |          
                  |         |   1 |          317957.41    |          
                  |         |   2 |          318362.54    |          
                  |         |     |                       |           
