2p6.3s           | 2S     |  1/2 |                0.00    |     L7147
                 |        |      |                        |           
2p6.3p           | 2P*    |  1/2 |            88651.87    |          
                 |        |  3/2 |            89447.25    |          
                 |        |      |                        |           
2p6.3d           | 2D     |  3/2 |           204198.99    |          
                 |        |  5/2 |           204206.04    |          
                 |        |      |                        |           
2p6.4s           | 2S     |  1/2 |           272959.27    |          
                 |        |      |                        |           
2p6.4p           | 2P*    |  1/2 |           304160.87    |          
                 |        |  3/2 |           304445.28    |          
                 |        |      |                        |           
2p6.4d           | 2D     |  3/2 |           345395.62    |          
                 |        |  5/2 |           345400.75    |          
                 |        |      |                        |           
2p6.4f           | 2F*    |  7/2 |           352594.24    |          
                 |        |  5/2 |           352594.24    |          
                 |        |      |                        |           
2p6.5s           | 2S     |  1/2 |           376645.25    |          
                 |        |      |                        |           
2p6.5p           | 2P*    |  1/2 |           391118.07    |          
                 |        |  3/2 |           391251.91    |          
                 |        |      |                        |           
2p6.5d           | 2D     |  3/2 |           410635.53    |          
                 |        |  5/2 |           410638.67    |          
                 |        |      |                        |           
2p6.5f           | 2F*    |  5/2 |           414467.73    |          
                 |        |  7/2 |           414467.73    |          
                 |        |      |                        |           
2p6.5g           | 2G     |  7/2 |           414686.79    |          
                 |        |  9/2 |           414686.79    |          
                 |        |      |                        |           
2p6.6s           | 2S     |  1/2 |           427185.41    |          
                 |        |      |                        |           
2p6.6p           | 2P*    |  1/2 |           435048.96    |          
                 |        |  3/2 |           435122.44    |          
                 |        |      |                        |           
2p6.6d           | 2D     |  5/2 |           445838.8     |          
                 |        |  3/2 |           445838.8     |          
                 |        |      |                        |           
2p6.6f           | 2F*    |  7/2 |           448090.23    |          
                 |        |  5/2 |           448090.23    |          
                 |        |      |                        |           
2p6.6g           | 2G     |  7/2 |           448230.28    |          
                 |        |  9/2 |           448230.28    |          
                 |        |      |                        |           
2p6.6h           | 2H*    |  9/2 |           448250.34    |          
                 |        | 11/2 |           448250.34    |          
                 |        |      |                        |           
2p6.7s           | 2S     |  1/2 |           455602.53    |          
                 |        |      |                        |           
2p6.7p           | 2P*    |  1/2 |           460341.6     |          
                 |        |  3/2 |           460386.3     |          
                 |        |      |                        |           
2p6.7d           | 2D     |  3/2 |           466936.1     |          
                 |        |  5/2 |           466936.1     |          
                 |        |      |                        |           
2p6.7f           | 2F*    |  7/2 |           468363.51    |          
                 |        |  5/2 |           468363.51    |          
                 |        |      |                        |           
2p6.7g           | 2G     |  9/2 |           468456.20    |          
                 |        |  7/2 |           468456.20    |          
                 |        |      |                        |           
2p6.7h           | 2H*    |  9/2 |           468469.52    |          
                 |        | 11/2 |           468469.52    |          
                 |        |      |                        |           
2p6.7i           | 2I     | 11/2 |           468474.79    |          
                 |        | 13/2 |           468474.79    |          
                 |        |      |                        |           
2p6.8s           | 2S     |  1/2 |           473161.3     |          
                 |        |      |                        |           
2p6.8p           | 2P*    |  1/2 |           476234.4     |          
                 |        |  3/2 |           476263.9     |          
                 |        |      |                        |           
2p6.8d           | 2D     |  3/2 |           480560.1     |          
                 |        |  5/2 |           480560.1     |          
                 |        |      |                        |           
2p6.8f           | 2F*    |  7/2 |           481519.4     |          
                 |        |  5/2 |           481519.4     |          
                 |        |      |                        |           
2p6.8g           | 2G     |  9/2 |           481584.2     |          
                 |        |  7/2 |           481584.2     |          
                 |        |      |                        |           
2p6.9s           | 2S     |  1/2 |           484768.2     |          
                 |        |      |                        |           
