4f3                       | 4I*       |  9/2 |              0.00    |       L3974
                          |           | 11/2 |           1398.34    |            
                          |           | 13/2 |           2893.14    |            
                          |           | 15/2 |           4453.76    |            
                          |           |      |                      |             
4f3                       | 4F*       |  3/2 |           9370.66    |            
                          |           |      |                      |             
4f3                       | 2H2*      |  9/2 |          10032.92    |            
                          |           |      |                      |             
4f3                       | 4F*       |  5/2 |          10138.18    |            
                          |           |  7/2 |          10859.06    |            
                          |           |      |                      |             
4f3                       | 4S*       |  3/2 |          10950.24    |            
                          |           |      |                      |             
4f3                       | 4F*       |  9/2 |          11761.69    |            
                          |           |      |                      |             
4f3                       | 2H2*      | 11/2 |          12494.63    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2H        |  9/2 |          12846.66    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4K        | 11/2 |          13352.10    |            
                          |           |      |                      |             
4f3                       | *         |  7/2 |          13887.60    |            
                          |           |      |                      |             
4f3                       | 4G*       |  5/2 |          14187.35    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4I        |  9/2 |          14558.82    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2H        | 11/2 |          14859.96    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4G        |  5/2 |          15045.80    |            
                          |           |      |                      |             
4f3                       | 4G*       |  7/2 |          15443.48    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4K        | 13/2 |          15454.16    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4I        | 11/2 |          15525.50    |            
                          |           |      |                      |             
4f3                       | 4G*       |  9/2 |          15705.13    |            
                          |           |      |                      |             
4f3                       | 2K*       | 13/2 |          16089.14    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4H        |  7/2 |          16135.97    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4G        |  7/2 |          16516.15    |            
                          |           |      |                      |             
4f3                       | *         |  9/2 |          16763.98    |            
                          |           |      |                      |             
4f3                       | 2D1*      |  3/2 |          17095.63    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4I        | 13/2 |          17113.19    |            
                          |           |      |                      |             
4f3                       | 4G*       | 11/2 |          17409.58    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4K        | 15/2 |          17534.76    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4H        |  9/2 |          17627.00    |            
                          |           |      |                      |             
4f3                       | 2K*       | 15/2 |          17642.06    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4G        |  9/2 |          18063.36    |            
                          |           |      |                      |             
4f2.(3H).5d               |           |  5/2 |          18211.76    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2I        | 11/2 |          18241.54    |            
                          |           |      |                      |             
4f3                       | 2P*       |  1/2 |          18693.65    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4I        | 15/2 |          18921.24    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4H        |  7/2 |          18990.08    |            
                          |           |      |                      |             
4f3                       | 2D1*      |  5/2 |          19046.09    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4H        | 11/2 |          19308.93    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2I        | 13/2 |          19360.10    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4K        | 17/2 |          19649.67    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4G        | 11/2 |          19700.90    |            
                          |           |      |                      |             
4f2.(3H).5d               |           |  7/2 |          19872.43    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4F        |  3/2 |          20160.36    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4H        |  9/2 |          20315.65    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4F        |  5/2 |          20848.39    |            
                          |           |      |                      |             
4f3                       | 2P*       |  3/2 |          20856.86    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4P        |  3/2 |          21148.43    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4H        | 13/2 |          21238.78    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2G        |  7/2 |          21294.89    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4G        |  5/2 |          21418.84    |            
                          |           |      |                      |             
4f2.(1G).5d               |           |  9/2 |          21535.17    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4P        |  5/2 |          21611.19    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4H        | 11/2 |          21755.84    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4G        |  7/2 |          22080.94    |            
                          |           |      |                      |             
4f2.(3F).5d               |           |  3/2 |          22277.66    |            
                          |           |      |                      |             
4f2.(3H).5d               |           |  7/2 |          22527.70    |            
                          |           |      |                      |             
4f2.(3H).5d               | 4F        |  9/2 |          22747.69    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4D        |  3/2 |          23050.61    |            
                          |           |      |                      |             
4f3                       | 4D*       |  3/2 |          23091.70    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4H        | 13/2 |          23175.09    |            
                          |           |      |                      |             
4f3                       | 4D*       |  5/2 |          23245.99    |            
                          |           |      |                      |             
4f2.(1G).5d               |           | 11/2 |          23442.25    |            
                          |           |      |                      |             
4f3                       | 4D*       |  1/2 |          23465.43    |            
                          |           |      |                      |             
4f2.(3F).5d               |           |  5/2 |          23532.86    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2K        | 13/2 |          23647.77    |            
                          |           |      |                      |             
