7s2                    | 1S     |   0 |                0.0000    |    L19486
                       |        |     |                          |           
7s.7p                  | 3P*    |   0 |            13078.40      |    L19486
                       |        |     |                          |           
7s.6d                  | 3D     |   1 |            13715.779     |    L19486
                       |        |   2 |            13993.94      |    L19486
                       |        |     |                          |           
7s.7p                  | 3P*    |   1 |            13999.3569    |    L19486
                       |        |     |                          |           
7s.6d                  | 3D     |   3 |            14707.29      |    L19486
                       |        |     |                          |           
7s.7p                  | 3P*    |   2 |            16688.54      |    L19486
                       |        |     |                          |           
7s.6d                  | 1D     |   2 |            17081.31      |    L19486
                       |        |     |                          |           
7s.7p                  | 1P*    |   1 |            20715.6142    |    L19486
                       |        |     |                          |           
7s.8s                  | 3S     |   1 |            26754.02      |    L19486
                       |        |     |                          |           
6d.7p                  | 3F*    |   2 |            28038.00      |    L19486
                       |        |   3 |            30117.72      |    L19486
                       |        |     |                          |           
6d.7p                  | 1D*    |   2 |            30918.01      |    L19486
                       |        |     |                          |           
7s.8p                  | 3P*    |   0 |            31085.80      |    L19486
                       |        |     |                          |           
7p2?                   | 3P     |   1 |            31248.61      |    L19486
                       |        |     |                          |           
7s.8p                  | 3P*    |   1 |            31563.40      |    L19486
                       |        |   2 |            31874.25      |    L19486
                       |        |     |                          |           
7s.7d                  | 3D     |   2 |            31993.40      |    L19486
                       |        |   1 |            32000.78      |    L19486
                       |        |   3 |            32197.27      |    L19486
                       |        |     |                          |           
7p2?                   | 1D     |   2 |            32214.76      |    L19486
                       |        |     |                          |           
6d.7p                  | 3D*    |   1 |            32229.89      |    L19486
                       |        |     |                          |           
6d.7p                  | 3F*    |   4 |            32367.70      |    L19486
                       |        |     |                          |           
6d.7p                  | 3D*    |   2 |            32506.52      |    L19486
                       |        |     |                          |           
7s.8p                  | 1P*    |   1 |            32857.537     |    L19486
                       |        |     |                          |           
7p2?                   | 3P     |   2 |            32941.20      |    L19486
                       |        |     |                          |           
6d.7p                  | 3D*    |   3 |            33197.39      |    L19486
                       |        |     |                          |           
6d.7p                  | 3P*    |   0 |            33782.32      |    L19486
                       |        |   1 |            33823.63      |    L19486
                       |        |   2 |            34382.83      |    L19486
                       |        |     |                          |           
7s.9s                  | 3S     |   1 |            34475.74      |    L19486
                       |        |     |                          |           
7s.5f                  | 3F*    |   2 |            35255.51      |    L19486
                       |        |   3 |            35267.88      |    L19486
                       |        |   4 |            35294.32      |    L19486
                       |        |     |                          |           
7s.6f                  | 3F*    |   3 |            37922.2       |    L19486
                       |        |   4 |            37929.56      |    L19486
                       |        |     |                          |           
7s.7f                  | 3F*    |   3 |            39360.9       |    L19486
                       |        |   4 |            39366.9       |    L19486
                       |        |     |                          |           
7s.8f                  | 3F*    |   2 |            40219.4       |    L19486
                       |        |   3 |            40219.45      |    L19486
                       |        |   4 |            40231.5       |    L19486
                       |        |     |                          |           
7s.13p                 | 1P*    |   1 |            41034.400     |    L19486
                       |        |     |                          |           
7s.14p                 | 1P*    |   1 |            41338.940     |    L19486
                       |        |     |                          |           
7s.15p                 | 1P*    |   1 |            41562.296     |    L19486
                       |        |     |                          |           
7s.16p                 | 1P*    |   1 |            41730.580     |    L19486
                       |        |     |                          |           
7s.17p                 | 1P*    |   1 |            41860.240     |    L19486
                       |        |     |                          |           
7s.18p                 | 1P*    |   1 |            41962.281     |    L19486
                       |        |     |                          |           
7s.19p                 | 1P*    |   1 |            42043.868     |    L19486
                       |        |     |                          |           
7s.20p                 | 1P*    |   1 |            42110.347     |    L19486
                       |        |     |                          |           
7s.21p                 | 1P*    |   1 |            42164.971     |    L19486
                       |        |     |                          |           
7s.22p                 | 1P*    |   1 |            42210.520     |    L19486
                       |        |     |                          |           
7s.23p                 | 1P*    |   1 |            42248.829     |    L19486
                       |        |     |                          |           
7s.24p                 | 1P*    |   1 |            42281.383     |    L19486
                       |        |     |                          |           
7s.25p                 | 1P*    |   1 |            42309.320     |    L19486
                       |        |     |                          |           
7s.26p                 | 1P*    |   1 |            42333.335     |    L19486
                       |        |     |                          |           
7s.27p                 | 1P*    |   1 |            42354.357     |    L19486
                       |        |     |                          |           
7s.28p                 | 1P*    |   1 |            42372.773     |    L19486
                       |        |     |                          |           
7s.29p                 | 1P*    |   1 |            42388.773     |    L19486
                       |        |     |                          |           
7s.30p                 | 1P*    |   1 |            42403.096     |    L19486
                       |        |     |                          |           
7s.31p                 | 1P*    |   1 |            42415.789     |    L19486
                       |        |     |                          |           
7s.32p                 | 1P*    |   1 |            42427.050     |    L19486
                       |        |     |                          |           
7s.33p                 | 1P*    |   1 |            42437.097     |    L19486
                       |        |     |                          |           
7s.34p                 | 1P*    |   1 |            42446.203     |    L19486
                       |        |     |                          |           
7s.35p                 | 1P*    |   1 |            42454.516     |    L19486
                       |        |     |                          |           
7s.36p                 | 1P*    |   1 |            42461.863     |    L19486
                       |        |     |                          |           
7s.37p                 | 1P*    |   1 |            42468.788     |    L19486
                       |        |     |                          |           
7s.38p                 | 1P*    |   1 |            42474.917     |    L19486
                       |        |     |                          |           
7s.39p                 | 1P*    |   1 |            42480.501     |    L19486
                       |        |     |                          |           
7s.40p                 | 1P*    |   1 |            42485.662     |    L19486
                       |        |     |                          |           
7s.41p                 | 1P*    |   1 |            42490.375     |    L19486
                       |        |     |                          |           
7s.42p                 | 1P*    |   1 |            42494.765     |    L19486
                       |        |     |                          |           
7s.43p                 | 1P*    |   1 |            42498.882     |    L19486
                       |        |     |                          |           
7s.44p                 | 1P*    |   1 |            42502.575     |    L19486
                       |        |     |                          |           
7s.45p                 | 1P*    |   1 |            42506.118     |    L19486
                       |        |     |                          |           
7s.46p                 | 1P*    |   1 |            42509.288     |    L19486
                       |        |     |                          |           
7s.47p                 | 1P*    |   1 |            42512.260     |    L19486
                       |        |     |                          |           
7s.48p                 | 1P*    |   1 |            42515.131     |    L19486
