4s2.4p3           | 4S*    | 3/2 |                 0.0    |     L9039
                  |        |     |                        |           
4s2.4p3           | 2D*    | 3/2 |             18639.1    |          
                  |        | 5/2 |             21080.4    |          
                  |        |     |                        |           
4s2.4p3           | 2P*    | 1/2 |             34794.3    |          
                  |        | 3/2 |             38317.8    |          
                  |        |     |                        |           
4s.4p4            | 4P     | 5/2 |            135925.6    |          
                  |        | 3/2 |            140861.6    |          
                  |        | 1/2 |            143010.2    |          
                  |        |     |                        |           
4s.4p4            | 2D     | 3/2 |            167062.8    |          
                  |        | 5/2 |            168272.8    |          
                  |        |     |                        |           
4s.4p4            | 2P     | 3/2 |            189997.8    |          
                  |        | 1/2 |            192117.3    |          
                  |        |     |                        |           
4s.4p4            | 2S     | 1/2 |            200326.1    |          
                  |        |     |                        |           
4s2.4p2.5s        | 4P     | 3/2 |            266420      |          
                  |        |     |                        |           
4s2.4p2.5s        | 2P     | 1/2 |            268680      |          
                  |        |     |                        |           
4s2.4p2.5s        | 4P     | 5/2 |            270710      |          
                  |        |     |                        |           
4s2.4p2.5s        | 2P     | 3/2 |            271790      |          
                  |        |     |                        |           
4s2.4p2.5s        | 2D     | 5/2 |            285920      |          
                  |        | 3/2 |            286790      |          
                  |        |     |                        |           
4s2.4p2.5s        | 2S     | 1/2 |            307390      |          
