4d7               | a 4F   |  9/2 |             0.0    |        L3977
                  |        |  7/2 |          2147.8    |             
                  |        |  5/2 |          3485.7    |             
                  |        |  3/2 |          4322.0    |             
                  |        |      |                    |              
4d7               | a 4P   |  3/2 |         10997.1    |             
                  |        |  5/2 |         11062.3    |             
                  |        |  1/2 |         12469.8    |             
                  |        |      |                    |              
4d7               | a 2G   |  9/2 |         13030.0    |             
                  |        |  7/2 |         15129.5    |             
                  |        |      |                    |              
4d7               | a 2P   |  3/2 |         16091.0    |             
                  |        |      |                    |              
4d7               | a 2H   | 11/2 |         17424.5    |             
                  |        |      |                    |              
4d7               | a 2P   |  1/2 |         18182.0    |             
                  |        |      |                    |              
4d7               | a 2D   |  5/2 |         18277.1    |             
                  |        |      |                    |              
4d7               | a 2H   |  9/2 |         19576.4    |             
                  |        |      |                    |              
4d7               | a 2D   |  3/2 |         21698.5    |             
                  |        |      |                    |              
4d7               | a 2F   |  5/2 |         26801.0    |             
                  |        |  7/2 |         27889.5    |             
                  |        |      |                    |              
4d7               | b 2D   |  3/2 |         42304.4    |             
                  |        |      |                    |              
4d6.(5D).5s       | a 6D   |  9/2 |         43022.0    |             
                  |        |      |                    |              
4d7               | b 2D   |  5/2 |         43251.4    |             
                  |        |      |                    |              
4d6.(5D).5s       | a 6D   |  7/2 |         44394.4    |             
                  |        |  5/2 |         45278.2    |             
                  |        |  3/2 |         45876.6    |             
                  |        |  1/2 |         46227.0    |             
                  |        |      |                    |              
4d6.(5D).5s       | a 4D   |  7/2 |         54632.0    |             
                  |        |  5/2 |         56126.1    |             
                  |        |  3/2 |         57012.6    |             
                  |        |  1/2 |         57531.3    |             
                  |        |      |                    |              
4d6.(3H).5s       | a 4H   | 13/2 |         62352.5    |             
                  |        |  9/2 |         62402.1    |             
                  |        | 11/2 |         62535.6    |             
                  |        |      |                    |              
4d6.(a 3P).5s     | b 4P   |  5/2 |         62610.3    |             
                  |        |      |                    |              
4d6.(3H).5s       | a 4H   |  7/2 |         62869.1    |             
                  |        |      |                    |              
4d6.(a 3F).5s     | b 4F   |  9/2 |         64221.5    |             
                  |        |  7/2 |         64732.9    |             
                  |        |  5/2 |         64873.8    |             
                  |        |  3/2 |         65280.3    |             
                  |        |      |                    |              
4d6.(a 3P).5s     | b 4P   |  3/2 |         65526.2    |             
                  |        |      |                    |              
4d6.(3G).5s       | a 4G   | 11/2 |         66104.1    |             
                  |        |      |                    |              
4d6.(a 3P).5s     | b 4P   |  1/2 |         67494.2    |             
                  |        |      |                    |              
4d6.(3G).5s       | a 4G   |  9/2 |         67593.5    |             
                  |        |  5/2 |         67774.9    |             
                  |        |  7/2 |         68019.3    |             
                  |        |      |                    |              
4d6.(3H).5s       | b 2H   | 11/2 |         69721.7    |             
                  |        |  9/2 |         69746.9    |             
                  |        |      |                    |              
4d6.(a 3P).5s     | b 2P   |  3/2 |         70622.2    |             
                  |        |      |                    |              
4d6.(a 3F).5s     | b 2F   |  7/2 |         70672.8    |             
                  |        |      |                    |              
4d6.(3D).5s       | b 4D   |  1/2 |         70782.7    |             
                  |        |  5/2 |         70945.8    |             
                  |        |  3/2 |         71258.5    |             
                  |        |  7/2 |         71432.0    |             
                  |        |      |                    |              
4d6.(a 3F).5s     | b 2F   |  5/2 |         72394.4    |             
                  |        |      |                    |              
4d6.(3G).5s       | b 2G   |  9/2 |         73814.1    |             
                  |        |      |                    |              
4d8.(1I).5s       | a 2I   | 13/2 |         74008.9    |             
                  |        |      |                    |              
4d6.(a 3P).5s     | b 2P   |  1/2 |         74028.4    |             
                  |        |      |                    |              
4d8.(1I).5s       | a 2I   | 11/2 |         74370.6    |             
                  |        |      |                    |              
4d6.(3G).5s       | b 2G   |  7/2 |         74740.7    |             
                  |        |      |                    |              
4d8.(a 1G).5s     | c 2G   |  9/2 |         76182.9    |             
                  |        |  7/2 |         76582.5    |             
                  |        |      |                    |              
4d8.(3D).5s       | c 2D   |  5/2 |         77706.3    |             
                  |        |  3/2 |         77744.3?   |             
                  |        |      |                    |              
4d8.(a 1S).5s     | a 2S   |  1/2 |         79644.6?   |             
                  |        |      |                    |              
4d8.(a 1D).5s     | d 2D   |  5/2 |         80454.1    |             
                  |        |  3/2 |         80572.6?   |             
                  |        |      |                    |              
4d8.(1F).5s       | c 2F   |  7/2 |         82931.2    |             
                  |        |  5/2 |         83169.0    |             
                  |        |      |                    |              
                  | z 6D*  |  9/2 |         91818.7    |             
                  |        |  7/2 |         92021.6    |             
                  |        |  5/2 |         92826.1    |             
                  |        |  3/2 |         93413.0    |             
                  |        |  1/2 |         93809.3    |             
                  |        |      |                    |              
                  | z 6F*  |  7/2 |         97378.4    |             
                  |        |  9/2 |         97567.2    |             
                  |        | 11/2 |         97605.8    |             
                  |        |  5/2 |         97630.0    |             
                  |        |  3/2 |         97768.9    |             
                  |        |  1/2 |         97814.3    |             
                  |        |      |                    |              
                  | z 6P*  |  7/2 |         99046.2    |             
                  |        |      |                    |              
                  | z 4F*  |  9/2 |        100757.4    |             
                  |        |      |                    |              
                  | z 4D*  |  7/2 |        100845.7    |             
                  |        |      |                    |              
                  | z 6P*  |  5/2 |        100942.0    |             
                  |        |      |                    |              
                  | z 4D*  |  5/2 |        101857.6    |             
                  |        |      |                    |              
                  | z 6P*  |  3/2 |        102273.4    |             
                  |        |      |                    |              
                  | z 4F*  |  7/2 |        102446.8    |             
                  |        |      |                    |              
                  | z 4D*  |  3/2 |        102535.2    |             
                  |        |  1/2 |        102827.3    |             
                  |        |      |                    |              
                  | z 4F*  |  5/2 |        103313.6    |             
                  |        |  3/2 |        103980.0    |             
                  |        |      |                    |              
                  | z 4P*  |  5/2 |        104183.2    |             
                  |        |  3/2 |        105493.3    |             
                  |        |  1/2 |        106235.7    |             
                  |        |      |                    |              
                  | 1*     |  7/2 |        110209.6    |             
                  |        |      |                    |              
                  | 2*     |  3/2 |        110260.9    |             
                  |        |      |                    |              
                  | 3*     |  9/2 |        110562.4    |             
                  |        |      |                    |              
                  | 4*     | 11/2 |        111041.0    |             
                  |        |      |                    |              
                  | 5*     | 11/2 |        111413.9    |             
                  |        |      |                    |              
                  | 6*     | 13/2 |        111435.4    |             
                  |        |      |                    |              
                  | 7*     |  9/2 |        111817.0    |             
                  |        |      |                    |              
                  | 8*     |  5/2 |        111908.0    |             
                  |        |      |                    |              
                  | 9*     |  7/2 |        112027.5    |             
                  |        |      |                    |              
                  | 10*    |  5/2 |        112154.3    |             
                  |        |      |                    |              
                  | 11*    |  9/2 |        112725.2    |             
                  |        |      |                    |              
                  | 12*    |  5/2 |        112981.5    |             
                  |        |      |                    |              
                  | 13*    |  7/2 |        113314.3    |             
                  |        |      |                    |              
                  | 14*    |  3/2 |        113533.7    |             
                  |        |      |                    |              
                  | 15*    |  7/2 |        114070.8    |             
                  |        |      |                    |              
                  | 16*    | 15/2 |        114117.9    |             
                  |        |      |                    |              
                  | 17*    |  9/2 |        114230.0    |             
                  |        |      |                    |              
                  | 18*    |  1/2 |        114337.2    |             
                  |        |      |                    |              
                  | 19*    | 11/2 |        114365.3    |             
                  |        |      |                    |              
                  | 20*    |  3/2 |        114433.0    |             
                  |        |      |                    |              
                  | 21*    |  5/2 |        114504.9    |             
                  |        |      |                    |              
                  | 22*    | 13/2 |        114651.9    |             
                  |        |      |                    |              
                  | 23*    |  9/2 |        114801.1    |             
                  |        |      |                    |              
                  | 24*    |  7/2 |        115147.6    |             
                  |        |      |                    |              
                  | 25*    | 11/2 |        115444.7    |             
                  |        |      |                    |              
                  | 26*    | 13/2 |        115484.0    |             
                  |        |      |                    |              
                  | 27*    |  7/2 |        115577.7    |             
                  |        |      |                    |              
                  | 28*    |  1/2 |        115831.2    |             
                  |        |      |                    |              
                  | 29*    |  5/2 |        115992.3    |             
                  |        |      |                    |              
                  | 30*    |  9/2 |        116295.6    |             
                  |        |      |                    |              
