                   |        |      |                        |             
3s2.3p3            | 4S*    |  3/2 |                0.00    |       L7237
                   |        |      |                        |             
3s2.3p3            | 2D*    |  3/2 |            14852.94    |            
                   |        |  5/2 |            14884.73    |            
                   |        |      |                        |             
3s2.3p3            | 2P*    |  1/2 |            24524.83    |            
                   |        |  3/2 |            24571.54    |            
                   |        |      |                        |             
3s.3p4             | 4P     |  5/2 |            79395.39    |            
                   |        |  3/2 |            79756.83    |            
                   |        |  1/2 |            79962.61    |            
                   |        |      |                        |             
3s.3p4             | 2D     |  3/2 |            97890.74    |            
                   |        |  5/2 |            97918.86    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 2P     |  3/2 |           105599.06    |            
                   |        |  1/2 |           106044.24    |            
                   |        |      |                        |             
3s2.3p2.(3P).4s    | 4P     |  1/2 |           109560.69    |            
                   |        |  3/2 |           109831.59    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 4F     |  3/2 |           110177.02    |            
                   |        |      |                        |             
3s2.3p2.(3P).4s    | 4P     |  5/2 |           110268.60    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 4F     |  5/2 |           110313.40    |            
                   |        |  7/2 |           110508.71    |            
                   |        |  9/2 |           110766.56    |            
                   |        |      |                        |             
3s2.3p2.(3P).4s    | 2P     |  1/2 |           112937.57    |            
                   |        |  3/2 |           113461.54    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 4D     |  1/2 |           114162.30    |            
                   |        |  3/2 |           114200.54    |            
                   |        |  5/2 |           114231.04    |            
                   |        |  7/2 |           114279.33    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 2F     |  5/2 |           114804.37    |            
                   |        |  7/2 |           115285.61    |            
                   |        |      |                        |             
3s.3p4             | 2S     |  1/2 |           119783.77    |            
                   |        |      |                        |             
3s2.3p2.(1D).4s    | 2D     |  3/2 |           121528.72    |            
                   |        |  5/2 |           121530.02    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 2S*    |  1/2 |           125485.29    |            
                   |        |      |                        |             
3s2.3p2.(1D).3d    | 2G     |  7/2 |           127127.10    |            
                   |        |  9/2 |           127128.35    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 4D*    |  1/2 |           127825.08    |            
                   |        |  3/2 |           127976.34    |            
                   |        |  5/2 |           128233.20    |            
                   |        |  7/2 |           128599.16    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 4P*    |  1/2 |           129787.83    |            
                   |        |  3/2 |           129858.18    |            
                   |        |  5/2 |           130134.16    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 4P     |  5/2 |           130602.21    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 2D*    |  3/2 |           130641.11    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 4P     |  3/2 |           130818.85    |            
                   |        |  1/2 |           130948.94    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 4S*    |  3/2 |           131028.85    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 2D*    |  5/2 |           131187.19    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 2P*    |  1/2 |           133268.68    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 2D     |  3/2 |           133360.86    |            
                   |        |      |                        |             
3s2.3p2.(3P).4p    | 2P*    |  3/2 |           133399.97    |            
                   |        |      |                        |             
3s2.3p2.(3P).3d    | 2D     |  5/2 |           133814.84    |            
                   |        |      |                        |             
3s2.3p2.(1S).4s    | 2S     |  1/2 |           136328.79    |            
                   |        |      |                        |             
3s2.3p2.(1D).3d    | 2F     |  5/2 |           138509.17    |            
                   |        |  7/2 |           138527.98    |            
                   |        |      |                        |             
3s2.3p2.(1D).3d    | 2P     |  1/2 |           139844.99    |            
                   |        |  3/2 |           140016.77    |            
                   |        |      |                        |             
3s2.3p2.(1D).4p    | 2F*    |  5/2 |           140230.10    |            
                   |        |  7/2 |           140319.23    |            
                   |        |      |                        |             
3s2.3p2.(1D).4p    | 2D*    |  5/2 |           140708.89    |            
                   |        |  3/2 |           140750.34    |            
                   |        |      |                        |             
3s2.3p2.(1D).4p    | 2P*    |  1/2 |           143488.95    |            
                   |        |  3/2 |           143623.56    |            
                   |        |      |                        |             
3s2.3p2.(1D).3d    | 2D     |  5/2 |           144009.42    |            
                   |        |  3/2 |           144142.16    |            
                   |        |      |                        |             
3s.3p4             | 2P     |  3/2 |           145505.74    |            
                   |        |  1/2 |           145877.66    |            
                   |        |      |                        |             
3s2.3p2.(1S).3d    | 2D     |  5/2 |           148886.57    |            
                   |        |  3/2 |           148900.91    |            
                   |        |      |                        |             
3s2.3p2.(3P).5s    | 4P     |  1/2 |           150258.51    |            
                   |        |  3/2 |           150531.31    |            
                   |        |  5/2 |           150996.41    |            
                   |        |      |                        |             
3s2.3p2.(3P).5s    | 2P     |  1/2 |           151383.81    |            
                   |        |      |                        |             
3s2.3p2.(1D).3d    | 2S     |  1/2 |           151651.72    |            
                   |        |      |                        |             
3s2.3p2.(3P).5s    | 2P     |  3/2 |           151910.83    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 4F     |  3/2 |           151959.69    |            
                   |        |  5/2 |           152094.64    |            
                   |        |  7/2 |           152305.00    |            
                   |        |  9/2 |           152615.46    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 4D     |  1/2 |           153153.90    |            
                   |        |  3/2 |           153201.95    |            
                   |        |  5/2 |           153283.07    |            
                   |        |  7/2 |           153413.74    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 4P     |  5/2 |           155818.71    |            
                   |        |  3/2 |           156029.54    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 2F     |  5/2 |           156121.70    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 4P     |  1/2 |           156148.48    |            
                   |        |      |                        |             
3s2.3p2.(1S).4p    | 2P*    |  1/2 |           156167.04    |            
                   |        |  3/2 |           156276.83    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 2F     |  7/2 |           156604.17    |            
                   |        |      |                        |             
3s2.3p2.(3P).5p    | 4D*    |  1/2 |           156829.75    |            
                   |        |  3/2 |           156939.50    |            
                   |        |  5/2 |           157173.69    |            
                   |        |  7/2 |           157558.77    |            
                   |        |      |                        |             
3s2.3p2.(3P).5p    | 4P*    |  3/2 |           157579.68    |            
                   |        |  1/2 |           157677.32    |            
                   |        |  5/2 |           158038.60    |            
                   |        |      |                        |             
3s2.3p2.(3P).5p    | 4S*    |  3/2 |           158118.75    |            
                   |        |      |                        |             
3s2.3p2.(3P).5p    | 2D*    |  3/2 |           158215.59    |            
                   |        |  5/2 |           158715.46    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 2P     |  3/2 |           158828.31    |            
                   |        |  1/2 |           159283.66    |            
                   |        |      |                        |             
3s2.3p2.(3P).4d    | 2D     |  5/2 |           159492.83    |            
                   |        |  3/2 |           159495.94    |            
                   |        |      |                        |             
3s2.3p2.(3P<0>).4f | 2[3]*  |  5/2 |           160104.11    |            
