5p3                   | 4S*       |     3/2 |                0.000    |       L10083
                      |           |         |                         |              
5p3                   | 2D*       |     3/2 |             8512.125    |       L10083
                      |           |     5/2 |             9854.018    |       L10083
                      |           |         |                         |              
5p3                   | 2P*       |     1/2 |            16395.359    |       L10083
                      |           |     3/2 |            18464.202    |       L10083
                      |           |         |                         |              
5p2.(3P).6s           | 4P        |     1/2 |            43249.337    |       L10083
                      |           |     3/2 |            45945.340    |       L10083
                      |           |         |                         |              
5p2.(3P).6s           | 2P        |     1/2 |            46991.058    |       L10083
                      |           |         |                         |              
5p2.(3P).6s           | 4P        |     5/2 |            48332.424    |       L10083
                      |           |         |                         |              
5p2.(3P).6s           | 2P        |     3/2 |            49391.133    |       L10083
                      |           |         |                         |              
5p2.(3P<0>).6p        | (0,1/2)*  |     1/2 |            51676.437    |       L10083
                      |           |         |                         |              
5p2.(3P<0>).6p        | (0,3/2)*  |     3/2 |            52612.483    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4P        |     5/2 |            53442.967    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4F        |     3/2 |            53527.956    |       L10083
                      |           |         |                         |              
5p2.(3P<1>).6p        | (1,1/2)*  |     1/2 |            54196.618    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4F        |     5/2 |            55120.943    |       L10083
                      |           |         |                         |              
5p2.(3P<1>).6p        | (1,1/2)*  |     3/2 |            55134.255    |       L10083
                      |           |         |                         |              
                      | 55135     |     5/2 |            55135.1      |  L4893,L3466
                      |           |         |                         |              
                      | 55168*    |         |            55168.3?     |        L3466
                      |           |         |                         |              
5p2.(1D).6s           | 2D        |     3/2 |            55232.963    |       L10083
                      |           |         |                         |              
5p2.(3P<1>).6p        | (1,3/2)*  |     5/2 |            55252.132    |       L10083
                      |           |         |                         |              
5p2.(1D).6s           | 2D        |     5/2 |            55728.264    |       L10083
                      |           |         |                         |              
5p2.(3P<1>).6p        | (1,3/2)*  |     3/2 |            55864.828    |       L10083
                      |           |     1/2 |            55993.858    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4P        |     3/2 |            56151.802    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4F        |     7/2 |            56528.132    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4P        |     1/2 |            56698.608    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 2P        |     3/2 |            56733.162    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 2F        |     5/2 |            57287.052    |       L10083
                      |           |         |                         |              
5p2.(3P<2>).6p        | (2,1/2)*  |     5/2 |            57410.340    |       L10083
                      |           |         |                         |              
5p2.(3P<2>).6p        | (2,3/2)*  |     7/2 |            57555.355    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4D        |     1/2 |            57597.203    |       L10083
                      |           |         |                         |              
5p2.(3P<2>).6p        | (2,1/2)*  |     3/2 |            58075.536    |       L10083
                      |           |         |                         |              
5p2.(3P).7s           | 4P        |     1/2 |            58132.656    |       L10083
                      |           |         |                         |              
5p2.(3P<2>).6p        | (2,3/2)*  |     3/2 |            58589.512    |       L10083
                      |           |     1/2 |            58653.011    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4D        |     3/2 |            58746.356    |       L10083
                      |           |         |                         |              
5p2.(3P<2>).6p        | (2,3/2)*  |     5/2 |            58835.487    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 4D        |     5/2 |            58862.889    |       L10083
                      |           |     7/2 |            58944.148    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 2P        |     1/2 |            59737.625    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           |           |     5/2 |            60404.475    |       L10083
                      |           |         |                         |              
5p2.(3P).6d           | 2D        |     3/2 |            60580.899    |       L10083
                      |           |         |                         |              
5p2.(3P<0>).7p        | (0,1/2)*  |     1/2 |            60765.293    |       L10083
                      |           |         |                         |              
5p2.(3P).7s           | 4P        |     3/2 |            60964.671    |       L10083
                      |           |         |                         |              
5p2.(3P<0>).7p        | (0,3/2)*  |     3/2 |            61000.296    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 2F        |     7/2 |            61125.741    |       L10083
                      |           |         |                         |              
5p2.(3P).7s           | 2P        |     1/2 |            61386.509    |       L10083
                      |           |         |                         |              
5p2.(3P).5d           | 2D        |     5/2 |            61631.065    |       L10083
                      |           |     3/2 |            61808.698    |       L10083
                      |           |         |                         |              
