4d10.5s            | 2S     | 1/2 |              0     |     L3466
                   |        |     |                    |           
4d10.5p            | 2P*    | 1/2 |          81566     |          
                   |        | 3/2 |          90553     |          
                   |        |     |                    |           
4d10.5d            | 2D     | 3/2 |         201927     |          
                   |        | 5/2 |         203043     |          
                   |        |     |                    |           
4d10.6s            | 2S     | 1/2 |         224653     |          
                   |        |     |                    |           
4d10.6p            | 2P*    | 1/2 |         254380     |          
                   |        | 3/2 |         257579     |          
