3s2.3p6               | 1S        |   0 |             0.0    |       L7185
                      |           |     |                    |             
3s2.3p5.3d            | 3P*       |   0 |        239723.2    |            
                      |           |   1 |        240403.0    |            
                      |           |   2 |        241814.0    |            
                      |           |     |                    |             
3s2.3p5.3d            | 3F*       |   4 |        250708.2    |            
                      |           |   3 |        252108.3    |            
                      |           |   2 |        253405.7    |            
                      |           |     |                    |             
3s2.3p5.3d            | 1D*       |   2 |        267424.4    |            
                      |           |     |                    |             
3s2.3p5.3d            | 3D*       |   3 |        268034.2    |            
                      |           |   1 |        269426.5    |            
                      |           |   2 |        269459.9    |            
                      |           |     |                    |             
3s2.3p5.3d            | 1F*       |   3 |        271055.4    |            
                      |           |     |                    |             
3s2.3p5.4s            | 3P*       |   2 |        333090.8    |            
                      |           |   1 |        334405.1    |            
                      |           |   0 |        337340.1    |            
                      |           |     |                    |             
3s2.3p5.4s            | 1P*       |   1 |        337483.5    |            
                      |           |     |                    |             
3s2.3p5.3d            | 1P*       |   1 |        345005.4    |            
                      |           |     |                    |             
3s2.3p5.4p            | 3S        |   1 |        371735.2    |            
                      |           |     |                    |             
3s2.3p5.4p            | 3D        |   3 |        378077.0    |            
                      |           |   2 |        378418.6    |            
                      |           |   1 |        380148.3    |            
                      |           |     |                    |             
3s2.3p5.4p            | 3P        |   2 |        381712.0    |            
                      |           |     |                    |             
3s2.3p5.4p            | 1P        |   1 |        383527.1    |            
                      |           |     |                    |             
3s2.3p5.4p            | 1D        |   2 |        384661.3    |            
                      |           |     |                    |             
3s2.3p5.4p            | 3P        |   0 |        384817.8    |            
                      |           |   1 |        385570.0    |            
                      |           |     |                    |             
3s2.3p5.4p            | 1S        |   0 |        397510.7    |            
                      |           |     |                    |             
3s.3p6.3d             | 3D        |   1 |        429695.7    |            
                      |           |   2 |        429842.4    |            
                      |           |   3 |        430078.5    |            
                      |           |     |                    |             
3s2.3p5.4d            | 3P*       |   0 |        440517.9    |            
                      |           |   1 |        440983.0    |            
                      |           |   2 |        441927.3    |            
                      |           |     |                    |             
3s.3p6.3d             | 1D        |   2 |        442046.0    |            
                      |           |     |                    |             
3s2.3p5.4d            | 3F*       |   4 |        442558.6    |            
                      |           |   3 |        443191.3    |            
                      |           |   2 |        444427.4    |            
                      |           |     |                    |             
3s2.3p5.4d            | 3D*       |   3 |        445207.5    |            
                      |           |   1 |        447622.4    |            
                      |           |     |                    |             
3s2.3p5.4d            | 1D*       |   2 |        448062.0    |            
                      |           |     |                    |             
3s2.3p5.4d            | 1F*       |   3 |        448607.8    |            
                      |           |     |                    |             
3s2.3p5.4d            | 3D*       |   2 |        448725.1    |            
                      |           |     |                    |             
3s2.3p5.4d            | 1P*       |   1 |        453972.7    |            
                      |           |     |                    |             
