1s2                   | 1S     |   0 |                    0     |    L12167
                      |        |     |                          |           
1s.2s                 | 3S     |   1 |            93052920.     |          
                      |        |     |                          |           
1s.2p                 | 3P*    |   0 |            93386400.     |          
                      |        |     |                          |           
1s.2s                 | 1S     |   0 |            93405000.     |          
                      |        |     |                          |           
1s.2p                 | 3P*    |   1 |            93409410.     |          
                      |        |   2 |            93796560.     |          
                      |        |     |                          |           
1s.2p                 | 1P*    |   1 |            93977800.     |          
                      |        |     |                          |           
1s.3s                 | 3S     |   1 |           110342500.     |          
                      |        |     |                          |           
1s.3p                 | 3P*    |   0 |           110434400.     |          
                      |        |     |                          |           
1s.3s                 | 1S     |   0 |           110435500.     |          
                      |        |     |                          |           
1s.3p                 | 3P*    |   1 |           110439900.     |          
                      |        |   2 |           110556100.     |          
                      |        |     |                          |           
1s.3p                 | 1P*    |   1 |           110606500.     |          
                      |        |     |                          |           
1s.3d                 | 3D     |   1 |           110614590.     |          
                      |        |   3 |           110654500.+s   |          
                      |        |     |                          |           
1s.3d                 | 1D     |   2 |           110658400.+v   |          
                      |        |     |                          |           
1s.4s                 | 3S     |   1 |           116333800.     |          
                      |        |     |                          |           
1s.4s                 | 1S     |   0 |           116371400.     |          
                      |        |     |                          |           
1s.4p                 | 3P*    |   0 |           116372100.     |          
                      |        |   1 |           116374300.     |          
                      |        |   2 |           116423400.     |          
                      |        |     |                          |           
1s.4p                 | 1P*    |   1 |           116444000.     |          
                      |        |     |                          |           
1s.5s                 | 3S     |   1 |           119090700.     |          
                      |        |     |                          |           
1s.5s                 | 1S     |   0 |           119109500.     |          
                      |        |     |                          |           
1s.5p                 | 3P*    |   0 |           119110100.     |          
                      |        |   1 |           119111300.     |          
                      |        |   2 |           119136400.     |          
                      |        |     |                          |           
1s.5p                 | 1P*    |   1 |           119146800.     |          
