1s2.2s2              | 1S     |   0 |                 0     |     L5815
                     |        |     |                       |           
1s2.2s.2p            | 3P*    |   0 |            169802     |          
                     |        |   1 |            172144     |          
                     |        |   2 |            177318     |          
                     |        |     |                       |           
1s2.2s.2p            | 1P*    |   1 |            329679     |          
                     |        |     |                       |           
1s2.2p2              | 3P     |   0 |            443670     |          
                     |        |   1 |            446494     |          
                     |        |   2 |            450965     |          
                     |        |     |                       |           
1s2.2p2              | 1D     |   2 |            495201     |          
                     |        |     |                       |           
1s2.2p2              | 1S     |   0 |            608758     |          
                     |        |     |                       |           
1s2.2s.3s            | 3S     |   1 |           2210700     |          
                     |        |     |                       |           
1s2.2s.3s            | 1S     |   0 |           2241810     |          
                     |        |     |                       |           
1s2.2s.3p            | 1P*    |   1 |           2285040     |          
                     |        |     |                       |           
1s2.2s.3p            | 3P*    |   2 |           2285210     |          
                     |        |   0 |           2285210     |          
                     |        |   1 |           2285210     |          
                     |        |     |                       |           
1s2.2s.3d            | 3D     |   2 |           2332050     |          
                     |        |   3 |           2332520     |          
                     |        |     |                       |           
1s2.2s.3d            | 1D     |   2 |           2361290     |          
                     |        |     |                       |           
1s2.2p.3s            | 3P*    |   2 |           2430220?    |          
                     |        |     |                       |           
1s2.2p.3s            | 1P*    |   1 |           2470820?    |          
                     |        |     |                       |           
1s2.2p.3p            | 3D     |   3 |           2487320     |          
                     |        |     |                       |           
1s2.2p.3p            | 3S     |   1 |           2500420     |          
                     |        |     |                       |           
1s2.2p.3p            | 3P     |   0 |           2507170?    |          
                     |        |   1 |           2510130     |          
                     |        |   2 |           2512380     |          
                     |        |     |                       |           
1s2.2p.3d            | 1D*    |   2 |           2525040     |          
                     |        |     |                       |           
1s2.2p.3p            | 1D     |   2 |           2532420     |          
                     |        |     |                       |           
1s2.2p.3d            | 3D*    |   2 |           2547100     |          
                     |        |   3 |           2549470     |          
                     |        |     |                       |           
1s2.2p.3d            | 3P*    |   2 |           2556770     |          
                     |        |   1 |           2558230     |          
                     |        |     |                       |           
1s2.2p.3d            | 1F*    |   3 |           2582930     |          
                     |        |     |                       |           
1s2.2s.4p            | 1P*    |   1 |           2983740?    |          
                     |        |     |                       |           
1s2.2s.4d            | 3D     |   1 |           2998380     |          
                     |        |   2 |           2998380     |          
                     |        |   3 |           2998510     |          
                     |        |     |                       |           
1s2.2s.4d            | 1D     |   2 |           3007770     |          
                     |        |     |                       |           
1s2.2s.4f            | 3F*    |   2 |           3009720     |          
                     |        |   3 |           3009720     |          
                     |        |   4 |           3009720     |          
                     |        |     |                       |           
1s2.2p.4p            | 3D     |   3 |           3180500?    |          
                     |        |     |                       |           
1s2.2p.4p            | 3P     |   2 |           3187370?    |          
                     |        |     |                       |           
1s2.2p.4d            | 1D*    |   2 |           3193530?    |          
                     |        |     |                       |           
1s2.2p.4p            | 1D     |   2 |           3194190?    |          
                     |        |     |                       |           
1s2.2p.4d            | 3D*    |   3 |           3203130     |          
                     |        |     |                       |           
1s2.2p.4d            | 3P*    |   2 |           3204950?    |          
                     |        |     |                       |           
1s2.2p.4d            | 1F*    |   3 |           3214660     |          
                     |        |     |                       |           
1s2.2s.5d            | 3D     |   3 |           3304400     |          
                     |        |   2 |           3304400     |          
                     |        |     |                       |           
1s2.2s.5d            | 1D     |   2 |           3308260     |          
                     |        |     |                       |           
1s2.2p.5d            | 1F*    |   3 |           3511520?    |          
