1s              | 2S     | 1/2 |               0     |          
                |        |     |                     |           
2p              | 2P*    | 1/2 |       (16165987)    |          
                |        |     |                     |           
2s              | 2S     | 1/2 |       (16166518)    |          
                |        |     |                     |           
2p              | 2P*    | 3/2 |       (16180140)    |          
                |        |     |                     |           
3p              | 2P*    | 1/2 |       (19164600)    |          
                |        |     |                     |           
3s              | 2S     | 1/2 |       (19164761)    |          
                |        |     |                     |           
3d              | 2D     | 3/2 |       (19168787)    |          
                |        |     |                     |           
3p              | 2P*    | 3/2 |       (19168794)    |          
                |        |     |                     |           
3d              | 2D     | 5/2 |       (19170178)    |          
                |        |     |                     |           
4p              | 2P*    | 1/2 |       (20213538)    |          
                |        |     |                     |           
4s              | 2S     | 1/2 |       (20213606)    |          
                |        |     |                     |           
4d              | 2D     | 3/2 |       (20215304)    |          
                |        |     |                     |           
4p              | 2P*    | 3/2 |       (20215307)    |          
                |        |     |                     |           
4f              | 2F*    | 5/2 |       (20215890)    |          
                |        |     |                     |           
4d              | 2D     | 5/2 |       (20215891)    |          
                |        |     |                     |           
4f              | 2F*    | 7/2 |       (20216183)    |          
                |        |     |                     |           
5p              | 2P*    | 1/2 |       (20698801)    |          
                |        |     |                     |           
5s              | 2S     | 1/2 |       (20698836)    |          
                |        |     |                     |           
5d              | 2D     | 3/2 |       (20699705)    |          
                |        |     |                     |           
5p              | 2P*    | 3/2 |       (20699706)    |          
                |        |     |                     |           
5d              | 2D     | 5/2 |       (20700005)    |          
                |        |     |                     |           
5f              | 2F*    | 5/2 |       (20700005)    |          
                |        | 7/2 |       (20700155)    |          
                |        |     |                     |           
5g              | 2G     | 7/2 |       (20700155)    |          
                |        | 9/2 |       (20700245)    |          
                |        |     |                     |           
6p              | 2P*    | 1/2 |       (20962298)    |          
                |        |     |                     |           
6s              | 2S     | 1/2 |       (20962318)    |          
                |        |     |                     |           
6p              | 2P*    | 3/2 |       (20962822)    |          
                |        |     |                     |           
7p              | 2P*    | 1/2 |       (21121130)    |          
                |        |     |                     |           
7s              | 2S     | 1/2 |       (21121143)    |          
                |        |     |                     |           
7p              | 2P*    | 3/2 |       (21121460)    |          
                |        |     |                     |           
8p              | 2P*    | 1/2 |       (21224195)    |          
                |        |     |                     |           
8s              | 2S     | 1/2 |       (21224204)    |          
                |        |     |                     |           
8p              | 2P*    | 3/2 |       (21224416)    |          
                |        |     |                     |           
9p              | 2P*    | 1/2 |       (21294843)    |          
                |        |     |                     |           
9s              | 2S     | 1/2 |       (21294849)    |          
                |        |     |                     |           
9p              | 2P*    | 3/2 |       (21294998)    |          
                |        |     |                     |           
10p             | 2P*    | 1/2 |       (21345369)    |          
                |        |     |                     |           
10s             | 2S     | 1/2 |       (21345373)    |          
                |        |     |                     |           
10p             | 2P*    | 3/2 |       (21345482)    |          
