4f6.6s2                        | 7F     |           0 |                0.00    |     L3974
                               |        |           1 |              292.58    |          
                               |        |           2 |              811.92    |          
                               |        |           3 |             1489.55    |          
                               |        |           4 |             2273.09    |          
                               |        |           5 |             3125.46    |          
                               |        |           6 |             4020.66    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 9H     |           1 |            10801.10    |          
                               |        |           2 |            11044.90    |          
                               |        |           3 |            11406.50    |          
                               |        |           4 |            11877.50    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 9D     |           2 |            12313.11    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 9H     |           5 |            12445.35    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 9D     |           3 |            12846.64    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 7H     |           2 |            13050.05    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 9H     |           6 |            13095.75    |          
                               |        |             |                        |           
4f6.(7F).5d (8F).6s            |        |           1 |            13369.35    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 9D     |           4 |            13458.46    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 7H     |           3 |            13542.80    |          
                               |        |             |                        |           
4f6.(7F).5d (8G).6s            | 9G     |           0 |            13551.20    |          
                               |        |           2 |            13687.75    |          
                               |        |           1 |            13732.53    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           0 |            13796.36    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 9H     |           7 |            13814.90    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           1 |            13999.50    |          
                               |        |             |                        |           
4f6.(7F).5d (8F).6s            | 9F     |           1 |            14026.45    |          
                               |        |             |                        |           
4f6.(7F).5d (8G).6s            | 9G     |           3 |            14056.70    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 7H     |           4 |            14154.30    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 9D     |           5 |            14202.85    |          
                               |        |             |                        |           
4f6.(7F).5d (8F).6s            | 9F     |           2 |            14365.50    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           2 |            14380.50    |          
                               |        |             |                        |           
4f6.(7F).5d (6P).6s            | 7P     |           2 |            14550.50    |          
                               |        |             |                        |           
4f6.(7F).5d (8G).6s            | 9G     |           4 |            14563.98    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 9H     |           8 |            14591.70    |          
                               |        |             |                        |           
4f6.(7F).5d (8P).6s            | 9P     |           3 |            14612.44    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 7D     |           2 |            14783.51    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 7H     |           5 |            14856.20    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9F*    |           1 |            14863.85    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           3 |            14915.83    |          
                               |        |             |                        |           
4f6.(7F).5d (8F).6s            | 9F     |           3 |            14920.45    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | *      |           2 |            15039.59    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 9D     |           6 |            15082.94    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 9H     |           9 |            15418.65    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9D*    |           3 |            15507.35    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 7D     |           3 |            15524.56    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9D*    |           2 |            15567.32    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           4 |            15579.12    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5D*    |           0 |            15586.30    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 7H     |           6 |            15617.45    |          
                               |        |             |                        |           
4f6.(7F).5d (8G).6s            | 7G     |           1 |            15639.80    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7G*    |           1 |            15650.55    |          
                               |        |             |                        |           
4f6.(7F).5d (8F).6s            | 7F     |           0 |            15793.68    |          
                               |        |             |                        |           
4f6.(7F).5d (6P).6s            |        |           3 |            15834.60    |          
                               |        |             |                        |           
4f6.6s2                        | 5D3    |           1 |            15914.55    |          
                               |        |             |                        |           
4f6.(7F).5d (8G).6s            | 7G     |           2 |            15955.24    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5D*    |           1 |            16112.33    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7G*    |           2 |            16116.42    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9D*    |           4 |            16131.53    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9F*    |           3 |            16211.12    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           5 |            16344.77    |          
                               |        |             |                        |           
4f6.(7F).5d (8D).6s            | 7D     |           4 |            16354.60    |          
                               |        |             |                        |           
4f6.(7F).5d (8H).6s            | 7H     |           7 |            16392.93    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | *      |           2 |            16681.74    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7D*    |           1 |            16690.76    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7G*    |           3 |            16748.30    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9D*    |           5 |            16859.31    |          
