5s2.5p             | 2P*    | 1/2 |                0.00      |        L3466
                   |        | 3/2 |             4251.494     |       L18891
                   |        |     |                          |              
5s.5p2             | 4P     | 1/2 |            46464.290     | L18891,L4985
                   |        | 3/2 |            48368.185     |       L18891
                   |        | 5/2 |            50730.224     |       L18891
                   |        |     |                          |              
5s2.6s             | 2S     | 1/2 |            56886.363     |       L18891
                   |        |     |                          |              
5s.5p2             | 2D     | 3/2 |            58844.181     |       L18891
                   |        | 5/2 |            59463.481     |       L18891
                   |        |     |                          |              
5s2.5d             | 2D     | 3/2 |            71406.142     |       L18891
                   |        |     |                          |              
5s2.6p             | 2P*    | 1/2 |            71493.273     |       L18891
                   |        |     |                          |              
5s2.5d             | 2D     | 5/2 |            72048.260     |       L18891
                   |        |     |                          |              
5s2.6p             | 2P*    | 3/2 |            72377.4484    |       L18891
                   |        |     |                          |              
5s.5p2             | 2S     | 1/2 |            75954.3       |       L18891
                   |        |     |                          |              
5s.5p2             | 2P     | 1/2 |            80455.1       |       L18891
                   |        | 3/2 |            81718.3       |       L18891
                   |        |     |                          |              
5s2.7s             | 2S     | 1/2 |            86280.318     |       L18891
                   |        |     |                          |              
5s2.4f             | 2F*    | 7/2 |            89288.255     |       L18891
                   |        | 5/2 |            89294.055     |       L18891
                   |        |     |                          |              
5s2.6d             | 2D     | 3/2 |            90241.554     |       L18891
                   |        | 5/2 |            90351.894     |       L18891
                   |        |     |                          |              
5s2.7p             | 2P*    | 1/2 |            91903.945     |       L18891
                   |        | 3/2 |            92268.106     |       L18891
                   |        |     |                          |              
5s2.8s             | 2S     | 1/2 |            98402.412     |       L18891
                   |        |     |                          |              
5s2.5f             | 2F*    | 7/2 |            99660.978     |       L18891
                   |        | 5/2 |            99666.327     |       L18891
                   |        |     |                          |              
5s2.7d             | 2D     | 3/2 |           100284.111     |       L18891
                   |        |     |                          |              
5s2.5g             | 2G     | 7/2 |           100324.111     |       L18891
                   |        | 9/2 |           100324.111     |       L18891
                   |        |     |                          |              
5s2.7d             | 2D     | 5/2 |           100338.947     |       L18891
                   |        |     |                          |              
5s2.8p             | 2P*    | 1/2 |           101204.2       |       L18891
                   |        | 3/2 |           101387.37      |       L18891
                   |        |     |                          |              
5s2.9s             | 2S     | 1/2 |           104678.41      |       L18891
                   |        |     |                          |              
5s2.6f             | 2F*    | 7/2 |           105360.3       |       L18891
                   |        | 5/2 |           105371.7       |       L18891
                   |        |     |                          |              
5s2.8d             | 2D     | 3/2 |           105731.3       |       L18891
                   |        |     |                          |              
5s2.6g             | 2G     | 7/2 |           105737.482     |       L18891
                   |        | 9/2 |           105737.482     |       L18891
                   |        |     |                          |              
5s2.8d             | 2D     | 5/2 |           105762.82      |       L18891
                   |        |     |                          |              
5s2.9p             | 2P*    | 1/2 |           106256.4       |       L18891
                   |        | 3/2 |           106370.2       |       L18891
                   |        |     |                          |              
5s2.10s            | 2S     | 1/2 |           108357.6       |       L18891
                   |        |     |                          |              
5s2.7g             | 2G     | 9/2 |           109002.3       |       L18891
                   |        | 7/2 |           109002.3       |       L18891
                   |        |     |                          |              
5s2.9d             | 2D     | 3/2 |           109006.1       |       L18891
                   |        | 5/2 |           109025.72      |       L18891
                   |        |     |                          |              
5s2.10p            | 2P*    | 1/2 |           109222.6       |       L18891
                   |        |     |                          |              
5s.5p.(3P*).6s     | 4P*    | 1/2 |           109453.6       |       L18891
                   |        |     |                          |              
5s2.11s            | 2S     | 1/2 |           110699         |       L18891
                   |        |     |                          |              
5s.5p.(3P*).6s     | 4P*    | 3/2 |           110777.28      |       L18891
                   |        |     |                          |              
5s2.8g             | 2G     | 7/2 |           111120.8       |       L18891
                   |        | 9/2 |           111120.8       |       L18891
                   |        |     |                          |              
5s2.10d            | 2D     | 3/2 |           111122.6       |       L18891
                   |        | 5/2 |           111143.3       |       L18891
                   |        |     |                          |              
5s2.9g             | 2G     | 9/2 |           112574.0       |       L18891
                   |        | 7/2 |           112574.0       |       L18891
                   |        |     |                          |              
5s2.11d            | 2D     | 3/2 |           112574.1       |       L18891
                   |        | 5/2 |           112596.9       |       L18891
                   |        |     |                          |              
5s2.10g            | 2G     | 7/2 |           113610.5       |       L18891
                   |        | 9/2 |           113610.5       |       L18891
                   |        |     |                          |              
5s.5p.(3P*).5d     | 2D*    | 5/2 |           113818.65      |       L18891
                   |        |     |                          |              
5s.5p.(3P*).6s     | 2P*    | 1/2 |           113952.44      |       L18891
                   |        |     |                          |              
5s.5p.(3P*).6s     | 4P*    | 5/2 |           114245.75      |       L18891
                   |        |     |                          |              
5s2.11g            | 2G     | 9/2 |           114378.1       |       L18891
                   |        | 7/2 |           114378.1       |       L18891
                   |        |     |                          |              
5s.5p.(3P*).5d     | 4F*    | 5/2 |           115256.2?      |       L18891
                   |        | 7/2 |           116423.1       |       L18891
