2p6.3s              | 2S      | 1/2 |                   0     |       L6830
                    |         |     |                         |             
2p6.3p              | 2P*     | 1/2 |              491004     |       L6830
                    |         | 3/2 |              625864     |       L6830
                    |         |     |                         |             
2p6.3d              | 2D      | 3/2 |             1276982     |       L6830
                    |         | 5/2 |             1303522     |       L6830
                    |         |     |                         |             
2p6.4s              | 2S      | 1/2 |             5157500     |       L6830
                    |         |     |                         |             
2p6.4p              | 2P*     | 1/2 |             5358600     |       L6830
                    |         | 3/2 |             5412500     |       L6830
                    |         |     |                         |             
2p6.4d              | 2D      | 3/2 |             5656100     |       L6830
                    |         | 5/2 |             5667700     |       L6830
                    |         |     |                         |             
2p6.4f              | 2F*     | 5/2 |             5790700     |       L6830
                    |         | 7/2 |             5795100     |       L6830
                    |         |     |                         |             
2p6.5s              | 2S      | 1/2 |             7420400     |       L6830
                    |         |     |                         |             
2p6.5p              | 2P*     | 1/2 |             7516500     |       L6830
                    |         | 3/2 |             7547200     |       L6830
                    |         |     |                         |             
2p6.5d              | 2D      | 3/2 |             7666500     |       L6830
                    |         | 5/2 |             7672300     |       L6830
                    |         |     |                         |             
2p6.5f              | 2F*     | 5/2 |             7732300     |       L6830
                    |         | 7/2 |             7734600     |       L6830
                    |         |     |                         |             
2p6.5g              | 2G      | 7/2 |             7743790     |       L6830
                    |         | 9/2 |             7744990     |       L6830
                    |         |     |                         |             
