2s2                   | 1S     |   0 |                   0     |    L11339
                      |        |     |                         |           
2s.2p                 | 3P*    |   0 |             (539700)    |    L11339
                      |        |   1 |             (636700)    |    L11339
                      |        |   2 |            (1183500)    |    L11339
                      |        |     |                         |           
2p2                   | 3P     |   0 |            (1548000)    |    L11339
                      |        |     |                         |           
2s.2p                 | 1P*    |   1 |            (1570400)    |    L11339
                      |        |     |                         |           
2p2                   | 3P     |   1 |            (2054000)    |    L11339
                      |        |     |                         |           
2p2                   | 1D     |   2 |            (2145600)    |    L11339
                      |        |     |                         |           
2p2                   | 3P     |   2 |            (2757400)    |    L11339
                      |        |     |                         |           
2p2                   | 1S     |   0 |            (3054300)    |    L11339
                      |        |     |                         |           
2s.3p                 | 1P*    |   1 |           (20580000)    |    L13103
                      |        |     |                         |           
2s.3p                 | 3P*    |   1 |           (20756000)    |    L13103
