5s2.5p           | 2P*    | 1/2 |              0      |     L3466
                 |        | 3/2 |           9223      |          
                 |        |     |                     |           
5s.5p2           | 2D     | 3/2 |          92772      |          
                 |        | 5/2 |          94811      |          
                 |        |     |                     |           
5s.5p2           | 2S     | 1/2 |         109536      |          
                 |        |     |                     |           
5s.5p2           | 2P     | 1/2 |         119009      |          
                 |        | 3/2 |         119956      |          
                 |        |     |                     |           
5s2.5d           | 2D     | 3/2 |         127445.0    |          
                 |        | 5/2 |         128216.5    |          
                 |        |     |                     |           
5s2.6s           | 2S     | 1/2 |         133456.0    |          
                 |        |     |                     |           
5s2.6p           | 2P*    | 1/2 |         161339.4    |          
                 |        | 3/2 |         163959.0    |          
                 |        |     |                     |           
5s2.6d           | 2D     | 3/2 |         202941.4    |          
                 |        | 5/2 |         203352.8    |          
                 |        |     |                     |           
5s2.7s           | 2S     | 1/2 |         205343.6    |          
