3d2.4s2                | a 3F      |   2 |                0.000     |    L17885
                       |           |   3 |              170.1328    |    L17885
                       |           |   4 |              386.874     |    L17885
                       |           |     |                          |           
3d3.(4F).4s            | a 5F      |   1 |             6556.833     |    L17885
                       |           |   2 |             6598.765     |    L17885
                       |           |   3 |             6661.006     |    L17885
                       |           |   4 |             6742.756     |    L17885
                       |           |   5 |             6842.962     |    L17885
                       |           |     |                          |           
3d2.4s2                | a 1D      |   2 |             7255.355     |    L17885
                       |           |     |                          |           
3d2.4s2                | a 3P      |   0 |             8436.618     |    L17885
                       |           |   1 |             8492.422     |    L17885
                       |           |   2 |             8602.3441    |    L17885
                       |           |     |                          |           
3d3.(4F).4s            | b 3F      |   2 |            11531.761     |    L17885
                       |           |   3 |            11639.8109    |    L17885
                       |           |   4 |            11776.812     |    L17885
                       |           |     |                          |           
3d2.4s2                | a 1G      |   4 |            12118.393     |    L17885
                       |           |     |                          |           
3d3.(4P).4s            | a 5P      |   1 |            13981.773     |    L17885
                       |           |   2 |            14028.436     |    L17885
                       |           |   3 |            14105.634     |    L17885
                       |           |     |                          |           
3d3.(2G).4s            | a 3G      |   3 |            15108.111     |    L17885
                       |           |   4 |            15156.802     |    L17885
                       |           |   5 |            15220.393     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(3P*)   | z 5G*     |   2 |            15877.081     |    L17885
                       |           |   3 |            15975.631     |    L17885
                       |           |   4 |            16106.076     |    L17885
                       |           |   5 |            16267.480     |    L17885
                       |           |   6 |            16458.671     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(3P*)   | z 5F*     |   1 |            16817.160     |    L17885
                       |           |   2 |            16875.124     |    L17885
                       |           |   3 |            16961.442     |    L17885
                       |           |   4 |            17075.258     |    L17885
                       |           |   5 |            17215.390     |    L17885
                       |           |     |                          |           
3d3.(2D2).4s           | a 3D      |   1 |            17369.529     |    L17885
                       |           |   2 |            17423.856     |    L17885
                       |           |   3 |            17540.188     |    L17885
                       |           |     |                          |           
3d3.(2P).4s            | b 3P      |   0 |            17995.487     |    L17885
                       |           |     |                          |           
3d3.(2H).4s            | a 3H      |   4 |            18037.213     |    L17885
                       |           |     |                          |           
3d3.(2P).4s            | b 3P      |   1 |            18061.387     |    L17885
                       |           |     |                          |           
3d3.(2H).4s            | a 3H      |   5 |            18141.265     |    L17885
                       |           |     |                          |           
3d3.(2P).4s            | b 3P      |   2 |            18145.286     |    L17885
                       |           |     |                          |           
3d3.(2H).4s            | a 3H      |   6 |            18192.570     |    L17885
                       |           |     |                          |           
3d3.(2G).4s            | b 1G      |   4 |            18287.554     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(3P*)   | z 5D*     |   0 |            18462.722     |    L17885
                       |           |   1 |            18482.774     |    L17885
                       |           |   2 |            18525.059     |    L17885
                       |           |   3 |            18593.947     |    L17885
                       |           |   4 |            18695.134     |    L17885
