3d2.(3F).4s         | a 4F   |  3/2 |                0.0000    |      L17885
                    |        |  5/2 |               94.1142    |      L17885
                    |        |  7/2 |              225.7039    |      L17885
                    |        |  9/2 |              393.4459    |      L17885
                    |        |      |                          |             
3d3                 | b 4F   |  3/2 |              907.9672    |      L17885
                    |        |  5/2 |              983.9157    |      L17885
                    |        |  7/2 |             1087.3561    |      L17885
                    |        |  9/2 |             1215.8329    |      L17885
                    |        |      |                          |             
3d2.(3F).4s         | a 2F   |  5/2 |             4628.6571    |      L17885
                    |        |  7/2 |             4897.7179    |      L17885
                    |        |      |                          |             
3d2.(1D).4s         | a 2D   |  3/2 |             8710.5675    |      L17885
                    |        |  5/2 |             8744.3406    |      L17885
                    |        |      |                          |             
3d3                 | a 2G   |  7/2 |             8997.7874    |      L17885
                    |        |  9/2 |             9118.2849    |      L17885
                    |        |      |                          |             
3d3                 | a 4P   |  1/2 |             9363.7425    |      L17885
                    |        |  3/2 |             9395.8020    |      L17885
                    |        |  5/2 |             9518.1516    |      L17885
                    |        |      |                          |             
3d3                 | a 2P   |  1/2 |             9851.0145    |      L17885
                    |        |      |                          |             
3d2.(3P).4s         | b 4P   |  1/2 |             9872.899     |      L17885
                    |        |  3/2 |             9930.7766    |      L17885
                    |        |      |                          |             
3d3                 | a 2P   |  3/2 |             9975.9994    |      L17885
                    |        |      |                          |             
3d2.(3P).4s         | b 4P   |  5/2 |            10024.8009    |      L17885
                    |        |      |                          |             
3d3                 | b 2D2  |  3/2 |            12628.8455    |      L17885
                    |        |      |                          |             
3d3                 | a 2H   |  9/2 |            12677.1050    |      L17885
                    |        |      |                          |             
3d3                 | b 2D2  |  5/2 |            12758.2597    |      L17885
                    |        |      |                          |             
3d3                 | a 2H   | 11/2 |            12774.8168    |      L17885
                    |        |      |                          |             
3d2.(1G).4s         | b 2G   |  9/2 |            15257.5527    |      L17885
                    |        |  7/2 |            15265.7001    |      L17885
                    |        |      |                          |             
3d2.(3P).4s         | b 2P   |  1/2 |            16515.9359    |      L17885
                    |        |  3/2 |            16625.2441    |      L17885
                    |        |      |                          |             
3d3                 | b 2F   |  7/2 |            20891.7898    |      L17885
                    |        |  5/2 |            20951.7551    |      L17885
                    |        |      |                          |             
3d.4s2              | c 2D   |  3/2 |            24961.1910    |      L17885
                    |        |  5/2 |            25192.9650    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 4G*  |  5/2 |            29544.4540    |      L17885
                    |        |  7/2 |            29734.6206    |      L17885
                    |        |  9/2 |            29968.3304    |      L17885
                    |        | 11/2 |            30240.9396    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 4F*  |  3/2 |            30836.4250    |      L17885
                    |        |  5/2 |            30958.5846    |      L17885
                    |        |  7/2 |            31113.6764    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 2F*  |  5/2 |            31207.5111    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 4F*  |  9/2 |            31301.0653    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 2F*  |  7/2 |            31490.9177    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 2D*  |  3/2 |            31756.6406    |      L17885
                    |        |      |                          |             
3d2.(1S).4s         | a 2S   |  1/2 |            31787.934     |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 2D*  |  5/2 |            32025.5915    |      L17885
                    |        |      |                          |             
3d3                 | d 2D1  |  3/2 |            32275.4863    |      L17885
                    |        |  5/2 |            32332.9031    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 4D*  |  1/2 |            32532.3542    |      L17885
                    |        |  3/2 |            32602.6265    |      L17885
                    |        |  5/2 |            32698.1022    |      L17885
                    |        |  7/2 |            32767.1961    |      L17885
                    |        |      |                          |             
3d2.(3F).4p         | z 2G*  |  7/2 |            34543.3799    |      L17885
                    |        |  9/2 |            34748.5062    |      L17885
                    |        |      |                          |             
3d2.(3P).4p         | z 2S*  |  1/2 |            37430.6814    |      L17885
                    |        |      |                          |             
3d2.(1D).4p         | z 2P*  |  3/2 |            39233.4153    |      L17885
                    |        |      |                          |             
3d2.(1D).4p         | y 2D*  |  5/2 |            39476.9244    |      L17885
                    |        |  3/2 |            39602.8645    |      L17885
                    |        |      |                          |             
3d2.(1D).4p         | z 2P*  |  1/2 |            39674.7616    |      L17885
                    |        |      |                          |             
3d2.(1D).4p         | y 2F*  |  5/2 |            39926.8192    |      L17885
                    |        |      |                          |             
3d2.(3P).4p         | z 4S*  |  3/2 |            40027.2001    |      L17885
                    |        |      |                          |             
3d2.(1D).4p         | y 2F*  |  7/2 |            40074.6707    |      L17885
                    |        |      |                          |             
3d2.(3P).4p         | y 4D*  |  1/2 |            40330.3168    |      L17885
                    |        |  3/2 |            40425.7183    |      L17885
                    |        |  5/2 |            40581.6301    |      L17885
                    |        |  7/2 |            40798.4333    |      L17885
                    |        |      |                          |             
3d2.(3P).4p         | z 4P*  |  1/2 |            41996.7498    |      L17885
                    |        |  3/2 |            42068.8481    |      L17885
                    |        |  5/2 |            42208.8232    |      L17885
                    |        |      |                          |             
3d2.(1G).4p         | y 2G*  |  7/2 |            43740.7678    |      L17885
                    |        |  9/2 |            43780.9533    |      L17885
                    |        |      |                          |             
3d2.(3P).4p         | x 2D*  |  5/2 |            44902.4455    |      L17885
                    |        |  3/2 |            44914.8733    |      L17885
                    |        |      |                          |             
3d2.(3P).4p         | y 2P*  |  1/2 |            45472.4518    |      L17885
                    |        |  3/2 |            45548.9273    |      L17885
                    |        |      |                          |             
3d2.(1G).4p         | z 2H*  |  9/2 |            45673.7641    |      L17885
                    |        | 11/2 |            45908.6592    |      L17885
                    |        |      |                          |             
3d2.(1G).4p         | x 2F*  |  7/2 |            47466.7479    |      L17885
                    |        |  5/2 |            47625.0485    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4F*    |  3/2 |            52329.889     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4D*    |  1/2 |            52339.242     |      L17885
                    |        |  3/2 |            52459.395     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4F*    |  5/2 |            52471.895     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4D*    |  5/2 |            52630.881     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4F*    |  7/2 |            52705.2416    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4D*    |  7/2 |            52847.1337    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 4F*    |  9/2 |            53096.556     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | w 2D*  |  5/2 |            53554.9903    |      L17885
                    |        |  3/2 |            53597.2664    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | y 4P*  |  1/2 |            56223.205     |      L17885
                    |        |  3/2 |            56249.2448    |      L17885
                    |        |  5/2 |            56326.1371    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | w 2F*  |  5/2 |            59322.173     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | 2P*    |  3/2 |            59387.976     |      L17885
                    |        |  1/2 |            59440.190     |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(3P*) | w 2F*  |  7/2 |            59468.374     |      L17885
                    |        |      |                          |             
3d2.(3F).5s         | e 4F   |  3/2 |            62180.4011    |      L17885
                    |        |  5/2 |            62272.3881    |      L17885
                    |        |  7/2 |            62410.9628    |      L17885
                    |        |  9/2 |            62595.1650    |      L17885
                    |        |      |                          |             
3d2.(3F).5s         | e 2F   |  5/2 |            63169.0910    |      L17885
                    |        |      |                          |             
3d2.(1S).4p         | 2P*    |  1/2 |            63276.867     |      L17885
                    |        |  3/2 |            63375.321     |      L17885
                    |        |      |                          |             
3d2.(3F).5s         | e 2F   |  7/2 |            63446.0264    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 4G   |  5/2 |            64886.6693    |      L17885
                    |        |  7/2 |            64979.2810    |      L17885
                    |        |  9/2 |            65095.9741    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 4H   |  7/2 |            65186.8680    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 4D     |  1/2 |            65214.1729    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 4G   | 11/2 |            65243.6290    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 4D     |  3/2 |            65274.8247    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 4H   |  9/2 |            65308.4355    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | f 2F   |  5/2 |            65314.4599    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 4D     |  5/2 |            65397.7388    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 4H   | 11/2 |            65446.3822    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 4D     |  7/2 |            65460.1706    |      L17885
                    |        |      |                          |             
