2p6.3s2             | 1S     |   0 |                0     |     L7185
                    |        |     |                      |           
3s.3p               | 3P*    |   0 |           173216     |          
                    |        |   1 |           175747     |          
                    |        |   2 |           181371     |          
                    |        |     |                      |           
3s.3p               | 1P*    |   1 |           258972     |          
                    |        |     |                      |           
3p2                 | 1D     |   2 |           408880     |          
                    |        |     |                      |           
3p2                 | 3P     |   0 |           410610     |          
                    |        |   1 |           414132     |          
                    |        |   2 |           420667     |          
                    |        |     |                      |           
3p2                 | 1S     |   0 |           482832     |          
                    |        |     |                      |           
3s.3d               | 3D     |   1 |           499858     |          
                    |        |   2 |           500161     |          
                    |        |   3 |           500633     |          
                    |        |     |                      |           
3s.3d               | 1D     |   2 |           564613     |          
                    |        |     |                      |           
3p.3d               | 3F*    |   2 |           683850     |          
                    |        |   3 |           687587     |          
                    |        |   4 |           691958     |          
                    |        |     |                      |           
3p.3d               | 1D*    |   2 |           694742     |          
                    |        |     |                      |           
3p.3d               | 3P*    |   2 |           724697     |          
                    |        |     |                      |           
3p.3d               | 3D*    |   1 |           725636     |          
                    |        |     |                      |           
3p.3d               | 3P*    |   0 |           729721     |          
                    |        |   1 |           730362     |          
                    |        |     |                      |           
3p.3d               | 3D*    |   3 |           730567     |          
                    |        |   2 |           730835     |          
                    |        |     |                      |           
3p.3d               | 1F*    |   3 |           781821     |          
                    |        |     |                      |           
3p.3d               | 1P*    |   1 |           791982     |          
                    |        |     |                      |           
3d2                 | 3F     |   2 |          1008532     |          
                    |        |   3 |          1008980     |          
                    |        |   4 |          1009605     |          
                    |        |     |                      |           
3d2                 | 1D     |   2 |          1031380     |          
                    |        |     |                      |           
3d2                 | 1G     |   4 |          1032311     |          
                    |        |     |                      |           
3d2                 | 3P     |   0 |          1034687     |          
                    |        |   1 |          1034869     |          
                    |        |   2 |          1035200     |          
                    |        |     |                      |           
3s.4s               | 3S     |   1 |          1050850     |          
                    |        |     |                      |           
3s.4s               | 1S     |   0 |          1065780     |          
                    |        |     |                      |           
3s.4p               | 1P*    |   1 |          1139920     |          
                    |        |     |                      |           
3s.4d               | 3D     |   1 |          1243920     |          
                    |        |   2 |          1244260     |          
                    |        |   3 |          1244630     |          
                    |        |     |                      |           
3s.4d               | 1D     |   2 |          1253100     |          
                    |        |     |                      |           
3p.4s               | 3P*    |   0 |          1267600     |          
                    |        |   1 |          1269840     |          
                    |        |   2 |          1276040     |          
                    |        |     |                      |           
3s.4f               | 3F*    |   2 |          1293870     |          
                    |        |   3 |          1293940     |          
                    |        |   4 |          1294040     |          
                    |        |     |                      |           
3s.4f               | 1F*    |   3 |          1304360     |          
                    |        |     |                      |           
3p.4p               | 3D     |   1 |          1345690     |          
                    |        |   2 |          1348220     |          
                    |        |   3 |          1353860     |          
                    |        |     |                      |           
3p.4p               | 3P     |   0 |          1353940     |          
                    |        |   1 |          1356280     |          
                    |        |   2 |          1360140     |          
                    |        |     |                      |           
3p.4p               | 3S     |   1 |          1361780     |          
                    |        |     |                      |           
3p.4d               | 3D*    |   1 |          1453090     |          
                    |        |   3 |          1454460?    |          
                    |        |     |                      |           
3p.4d               | 1F*    |   3 |          1473630     |          
                    |        |     |                      |           
3p.4d               | 1P*    |   1 |          1474550     |          
                    |        |     |                      |           
3s.5s               | 3S     |   1 |          1484620     |          
                    |        |     |                      |           
3s.5s               | 1S     |   0 |          1491740     |          
                    |        |     |                      |           
3p.4f               | 3G     |   4 |          1500130     |          
                    |        |     |                      |           
3p.4f               | 3F     |   3 |          1500290     |          
                    |        |   4 |          1505420     |          
                    |        |     |                      |           
3p.4f               | 3G     |   5 |          1505620     |          
                    |        |     |                      |           
3p.4f               | 3D     |   2 |          1516580     |          
                    |        |     |                      |           
3p.4f               | 1G     |   4 |          1524190     |          
                    |        |     |                      |           
3s.5p               | 1P*    |   1 |          1528980     |          
                    |        |     |                      |           
3s.5d               | 3D     |   1 |          1577670     |          
                    |        |   2 |          1577820     |          
                    |        |   3 |          1577980     |          
                    |        |     |                      |           
3s.5d               | 1D     |   2 |          1584970     |          
                    |        |     |                      |           
3s.5f               | 3F*    |   2 |          1599850     |          
                    |        |   3 |          1599940     |          
                    |        |   4 |          1599960     |          
                    |        |     |                      |           
3s.5f               | 1F*    |   3 |          1603140     |          
                    |        |     |                      |           
3s.6p               | 1P*    |   1 |          1727380     |          
                    |        |     |                      |           
3s.6f               | 3F*    |   2 |          1765250     |          
                    |        |   4 |          1765260     |          
                    |        |   3 |          1765550     |          
                    |        |     |                      |           
3s.7p               | 1P*    |   1 |          1840880     |          
