1s2.2s2            | 1S     |   0 |                  0     |    L11926
                   |        |     |                        |           
1s2.2s.2p          | 3P*    |   0 |             288190     |          
                   |        |   1 |             304620     |          
                   |        |   2 |             347260     |          
                   |        |     |                        |           
1s2.2s.2p          | 1P*    |   1 |             589692     |          
                   |        |     |                        |           
1s2.2p2            | 3P     |   0 |             775810     |          
                   |        |   1 |             804890     |          
                   |        |   2 |             832410     |          
                   |        |     |                        |           
1s2.2p2            | 1D     |   2 |             917580     |          
                   |        |     |                        |           
1s2.2p2            | 1S     |   0 |            1104170     |          
                   |        |     |                        |           
1s2.2s.3s          | 3S     |   1 |            6160800     |          
                   |        |     |                        |           
1s2.2s.3p          | 3P*    |   1 |            6303200     |          
                   |        |     |                        |           
1s2.2s.3d          | 3D     |   1 |            6380600     |          
                   |        |   2 |            6389200     |          
                   |        |   3 |            6402700     |          
                   |        |     |                        |           
1s2.2s.3d          | 1D     |   2 |            6445900     |          
                   |        |     |                        |           
1s2.2p.3p          | 1P     |   1 |            6657000     |          
                   |        |     |                        |           
1s2.2p.3p          | 3D     |   2 |            6657000     |          
                   |        |     |                        |           
1s2.2p.3p          | 3P     |   0 |            6685800     |          
                   |        |     |                        |           
1s2.2p.3p          | 3D     |   3 |            6699700     |          
                   |        |     |                        |           
1s2.2p.3p          | 3S     |   1 |            6701300     |          
                   |        |     |                        |           
1s2.2p.3d          | 1D*    |   2 |            6738000     |          
                   |        |     |                        |           
1s2.2p.3d          | 3D*    |   1 |            6758000     |          
                   |        |     |                        |           
1s2.2p.3p          | 1D     |   2 |            6770900     |          
                   |        |     |                        |           
1s2.2p.3d          | 3D*    |   2 |            6789100     |          
                   |        |   3 |            6807600     |          
                   |        |     |                        |           
1s2.2p.3d          | 3P*    |   2 |            6813700     |          
                   |        |   1 |            6813700     |          
                   |        |     |                        |           
1s2.2p.3d          | 1P*    |   1 |            6866000     |          
                   |        |     |                        |           
1s2.2p.3d          | 1F*    |   3 |            6871700     |          
                   |        |     |                        |           
1s2.2s.4p          | 1P*    |   1 |            8326400     |          
                   |        |     |                        |           
1s2.2s.4d          | 3D     |   3 |            8360100     |          
                   |        |   2 |            8362600     |          
                   |        |   1 |            8366400     |          
                   |        |     |                        |           
1s2.2p.4p          | 3D     |   3 |            8709800     |          
                   |        |     |                        |           
1s2.2p.4d          | 3P*    |   2 |            8720700     |          
                   |        |     |                        |           
1s2.2p.4d          | 1D*    |   2 |            8746400     |          
                   |        |     |                        |           
1s2.2p.4d          | 1F*    |   3 |            8775500     |          
