5d10.6s                      | 2S        | 1/2 |             0.0    |      L3138
                             |           |     |                    |            
5d10.6p                      | 2P*       | 1/2 |         64158.9    |      L3138
                             |           |     |                    |            
5d9.6s2                      | 2D        | 5/2 |         66541.7    |      L3138
                             |           |     |                    |            
5d10.6p                      | 2P*       | 3/2 |         78974.2    |      L3138
                             |           |     |                    |            
5d9.6s2                      | 2D        | 3/2 |         84596.2    |      L3138
                             |           |     |                    |            
5d9.(2D<5/2>).6s.6p.(3P*<0>) | (5/2,0)*  | 5/2 |        121333.6    | L3138,L418
                             |           |     |                    |            
5d9.(2D<5/2>).6s.6p.(3P*<1>) | (5/2,1)*  | 7/2 |        126782.5    | L3138,L418
                             |           | 5/2 |        127377.1    | L3138,L418
                             |           | 3/2 |        129163.3    | L3138,L418
                             |           |     |                    |            
5d9.(2D<5/2>).6s.6p.(3P*<2>) | (5/2,2)*  | 9/2 |        137749.0    | L3138,L418
                             |           |     |                    |            
5d10.7s                      | 2S        | 1/2 |        139217.8    |      L3138
                             |           |     |                    |            
5d9.(2D<3/2>).6s.6p.(3P*<0>) | (3/2,0)*  | 3/2 |        140021.6    | L3138,L418
                             |           |     |                    |            
5d9.(2D<5/2>).6s.6p.(3P*<2>) | (5/2,2)*  | 5/2 |        142912.3    | L3138,L418
                             |           | 3/2 |        143146.3    | L3138,L418
                             |           | 7/2 |        143210.1    | L3138,L418
                             |           | 1/2 |        143373.9    | L3138,L418
                             |           |     |                    |            
5d10.6d                      | 2D        | 3/2 |        145362.1    |      L3138
                             |           | 5/2 |        146676.1    |      L3138
                             |           |     |                    |            
5d9.(2D<3/2>).6s.6p.(3P*<1>) | (3/2,1)*  | 5/2 |        147004.0    | L3138,L418
                             |           | 3/2 |        149770.4    | L3138,L418
                             |           | 1/2 |        150853.6    | L3138,L418
                             |           |     |                    |            
5d9.(2D<5/2>).6s.6p.(1P*<1>) | (5/2,1)*  | 3/2 |        155861.5    | L3138,L418
                             |           | 7/2 |        155923.6    | L3138,L418
                             |           |     |                    |            
5d9.(2D<3/2>).6s.6p.(3P*<2>) | (3/2,2)*  | 1/2 |        156228.3    | L3138,L418
                             |           |     |                    |            
5d10.7p                      | 2P*       | 1/2 |        157863.5    | L3138,L418
                             |           |     |                    |            
5d9.(2D<5/2>).6s.6p.(1P*<1>) | (5/2,1)*  | 5/2 |        159609.7    | L3138,L418
                             |           |     |                    |            
5d9.(2D<3/2>).6s.6p.(3P*<2>) | (3/2,2)*  | 3/2 |        160012.0    | L3138,L418
                             |           | 7/2 |        161207.1    | L3138,L418
                             |           | 5/2 |        162301.6    | L3138,L418
                             |           |     |                    |            
5d10.7p                      | 2P*       | 3/2 |        163540.0    | L3138,L418
                             |           |     |                    |            
5d9.(2D<3/2>).6s.6p.(1P*<1>) | (3/2,1)*  | 5/2 |        173818.1    | L3138,L418
                             |           | 1/2 |        174742.7    | L3138,L418
                             |           |     |                    |            
5d10.5f                      | 2F*       | 7/2 |        175599.3    |      L3138
                             |           | 5/2 |        176962.2    |      L3138
                             |           |     |                    |            
5d9.(2D<3/2>).6s.6p.(1P*<1>) | (3/2,1)*  | 3/2 |        178481.1    | L3138,L418
                             |           |     |                    |            
5d10.8s                      | 2S        | 1/2 |        183196.3    |      L3138
                             |           |     |                    |            
5d10.7d                      | 2D        | 3/2 |        186364.3    |      L3138
                             |           | 5/2 |        186958.7    |      L3138
                             |           |     |                    |            
5d10.8p                      | 2P*       | 1/2 |        192411.8    |      L3138
                             |           | 3/2 |        193849.8    |      L3138
                             |           |     |                    |            
5d10.5g                      | 2G        | 9/2 |        201013.6    |      L3138
                             |           | 7/2 |        201017.7    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 1         | 5/2 |        201483.2    |      L3138
                             |           |     |                    |            
5d10.6f                      | 2F*       | 7/2 |        201621.8    |      L3138
                             |           | 5/2 |        201744.9    |      L3138
                             |           |     |                    |            
5d10.9s                      | 2S        | 1/2 |        203536.0    |      L3138
                             |           |     |                    |            
5d10.8d                      | 2D        | 3/2 |        205268.6    |      L3138
                             |           | 5/2 |        205637.4    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 1         | 3/2 |        206526.3    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 2         | 3/2 |        209403.5    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 3         | 3/2 |        210512.3    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 2         | 5/2 |        211250.1    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 3         | 5/2 |        211370.5    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 1         | 7/2 |        211530.9    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 4         | 3/2 |        211889.5    |      L3138
                             |           |     |                    |            
5d10.6g                      | 2G        | 7/2 |        213165.7    |      L3138
                             |           |     |                    |            
5d10.6h                      | 2H*       | 9/2 |        213311.5    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 4         | 1/2 |        213371.3    |      L3138
                             |           |     |                    |            
5d10.7f                      | 2F*       | 7/2 |        213438.5    |      L3138
                             |           | 5/2 |        213506.7    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 2         | 5/2 |        214471.5    |      L3138
                             |           |     |                    |            
5d10.10s                     | 2S        | 1/2 |        214604.6    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 5         | 3/2 |        214727.9    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 6         | 5/2 |        215639.8    |      L3138
                             |           |     |                    |            
5d10.9d                      | 2D        | 3/2 |        215738.4    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 3         | 3/2 |        215902.2    |      L3138
                             |           |     |                    |            
5d10.9d                      | 2D        | 5/2 |        215991.2    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 4         | 5/2 |        217579.7    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 5         | 5/2 |        217699.1    |      L3138
                             |           |     |                    |            
5d9.6s.7d?                   | 1         | 1/2 |        218778.5    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 6         | 5/2 |        219100.0    |      L3138
                             |           |     |                    |            
5d10.7g                      | 2G        | 7/2 |        220530.3    |      L3138
                             |           |     |                    |            
5d10.7h                      | 2H*       | 9/2 |        220602.8    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 11        | 3/2 |        221788.5    |      L3138
                             |           |     |                    |            
5d9.6s.7p                    | 2*        | 3/2 |        222773.6    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 7         | 5/2 |        223367.3    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 7         | 3/2 |        223554.5    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 8         | 1/2 |        224753.1    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 8         | 3/2 |        224867.2    |      L3138
                             |           |     |                    |            
5d10.8h                      | 2H*       | 9/2 |        225327.6    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 12        | 1/2 |        225407.9    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 9         | 3/2 |        226503.8    |      L3138
                             |           |     |                    |            
5d9.6s.7p                    | 3*        | 3/2 |        227136.0    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 15        | 1/2 |        227696.5    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 9         | 5/2 |        228187.0    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 13        | 3/2 |        228557.3    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 10        | 3/2 |        229218.0    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 5         | 1/2 |        229497.4    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 17        | 3/2 |        231216.5    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 6         | 3/2 |        231643.0    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 16        | 5/2 |        233080.7    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 11        | 5/2 |        234369.6    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 12        | 5/2 |        234974.1    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 7         | 5/2 |        235528.0    |      L3138
                             |           |     |                    |            
5d9.6s.7s                    | 8         | 3/2 |        235696.1    |      L3138
                             |           |     |                    |            
5d9.6s.7p                    | 4*        | 1/2 |        237235.6    |      L3138
                             |           |     |                    |            
5d9.6p2                      | 10        | 5/2 |        238171.9    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 13        | 5/2 |        238192.3    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 14        | 3/2 |        239152.6    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 15        | 3/2 |        239555.4    |      L3138
                             |           |     |                    |            
5d9.6s.6d                    | 16        | 5/2 |        239885.5    |      L3138
