3d3              | a 4F   |  3/2 |               0.0     |            L7185
                 |        |  5/2 |             145.5     |                 
                 |        |  7/2 |             341.5     |                 
                 |        |  9/2 |             583.8     |                 
                 |        |      |                       |                  
3d3              | a 4P   |  1/2 |           11513.8     |                 
                 |        |  3/2 |           11591.8     |                 
                 |        |  5/2 |           11769.7     |                 
                 |        |      |                       |                  
3d3              | a 2G   |  7/2 |           11966.3     |                 
                 |        |  9/2 |           12187.0     |                 
                 |        |      |                       |                  
3d3              | a 2P   |  3/2 |           15550.3     |                 
                 |        |  1/2 |           15579.8     |                 
                 |        |      |                       |                  
3d3              | a 2D2  |  3/2 |           16330.5     |                 
                 |        |  5/2 |           16374.7     |                 
                 |        |      |                       |                  
3d3              | a 2H   |  9/2 |           16810.9     |                 
                 |        | 11/2 |           16977.6     |                 
                 |        |      |                       |                  
3d3              | a 2F   |  7/2 |           27727.8     |                 
                 |        |  5/2 |           27846.8     |                 
                 |        |      |                       |                  
3d3              | b 2D1  |  5/2 |           42267.4     |                 
                 |        |  3/2 |           42371.2     |                 
                 |        |      |                       |                  
3d2.(3F).4s      | b 4F   |  3/2 |           43942.49    |                 
                 |        |  5/2 |           44110.04    |                 
                 |        |  7/2 |           44345.82    |                 
                 |        |  9/2 |           44646.96    |                 
                 |        |      |                       |                  
3d2.(3F).4s      | b 2F   |  5/2 |           49327.74    |                 
                 |        |  7/2 |           49805.29    |                 
                 |        |      |                       |                  
3d2.(1D).4s      | c 2D   |  5/2 |           56160.42    |                 
                 |        |  3/2 |           56256.75    |                 
                 |        |      |                       |                  
3d2.(3P).4s      | b 4P   |  1/2 |           56529.30    |                 
                 |        |  3/2 |           56669.05    |                 
                 |        |  5/2 |           56922.50    |                 
                 |        |      |                       |                  
3d2.(3P).4s      | b 2P   |  1/2 |           61578.74    |                 
                 |        |  3/2 |           61777.15    |                 
                 |        |      |                       |                  
3d2.(1G).4s      | b 2G   |  9/2 |           63303.12    |                 
                 |        |  7/2 |           63315.05    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 4G*  |  5/2 |           85524.00    |                 
                 |        |  7/2 |           85875.74    |                 
                 |        |      |                       |                  
3d2.(1S).4s      | a 2S   |  1/2 |           86304.0     |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 4G*  |  9/2 |           86306.40    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 4F*  |  3/2 |           86716.84    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 4G*  | 11/2 |           86809.39    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 4F*  |  5/2 |           86938.01    |                 
                 |        |  7/2 |           87218.92    |                 
                 |        |  9/2 |           87544.46    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 2F*  |  5/2 |           87880.85    |                 
                 |        |  7/2 |           88327.96    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | 2D*    |  3/2 |           88559.08    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | 4D*    |  5/2 |           88944.38    |                 
                 |        |  1/2 |           89005.64    |                 
                 |        |  3/2 |           89193.47    |                 
                 |        |  7/2 |           89417.50    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | 2D*    |  5/2 |           89457.67    |                 
                 |        |      |                       |                  
3d2.(3F).4p      | z 2G*  |  7/2 |           91710.43    |                 
                 |        |  9/2 |           92052.55    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | z 2S*  |  1/2 |           94714.25    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | z 4S*  |  3/2 |           97512.00    |                 
                 |        |      |                       |                  
3d2.(1D).4p      | z 2P*  |  3/2 |           98062.22    |                 
                 |        |      |                       |                  
3d2.(1D).4p      | y 2F*  |  5/2 |           98383.53    |                 
                 |        |      |                       |                  
3d2.(1D).4p      | z 2P*  |  1/2 |           98399.42    |                 
                 |        |      |                       |                  
3d2.(1D).4p      | y 2F*  |  7/2 |           98825.19    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | y 4D*  |  1/2 |           99073.23    |                 
                 |        |  3/2 |           99181.50    |                 
                 |        |  5/2 |           99440.10    |                 
                 |        |      |                       |                  
3d2.(1D).4p      | y 2D*  |  3/2 |           99508.50    |                 
                 |        |  5/2 |           99804.57    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | y 4D*  |  7/2 |           99941.20    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | z 4P*  |  1/2 |          101645.61    |                 
                 |        |  3/2 |          101785.81    |                 
                 |        |  5/2 |          102075.00    |                 
                 |        |      |                       |                  
3d2.(1G).4p      | y 2G*  |  7/2 |          102961.28    |                 
                 |        |  9/2 |          103034.65    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | x 2D*  |  5/2 |          105282.65    |                 
                 |        |  3/2 |          105320.18    |                 
                 |        |      |                       |                  
3d2.(1G).4p      | z 2H*  |  9/2 |          106441.31    |                 
                 |        | 11/2 |          106903.35    |                 
                 |        |      |                       |                  
3d2.(3P).4p      | y 2P*  |  1/2 |          107060.41    |                 
                 |        |  3/2 |          107165.90    |                 
                 |        |      |                       |                  
3d2.(1G).4p      | x 2F*  |  7/2 |          109854.87    |                 
                 |        |  5/2 |          110181.47    |                 
                 |        |      |                       |                  
