5d4                  | 5D     |   0 |                 0.00    |    L10405
                     |        |   1 |              2256.20    |    L10405
                     |        |   2 |              4461.19    |    L10405
                     |        |   3 |              6277.81    |    L10405
                     |        |   4 |              7686.68    |    L10405
                     |        |     |                         |           
5d4                  | 3P2    |   0 |              9904.30    |    L10405
                     |        |     |                         |           
5d3.(4F).6s          | 5F     |   1 |             10968.54    |    L10405
                     |        |   2 |             12427.09    |    L10405
                     |        |     |                         |           
5d4                  | 3P2    |   1 |             12881.03    |    L10405
                     |        |     |                         |           
5d4                  | 3H     |   4 |             13700.95    |    L10405
                     |        |     |                         |           
5d4                  | 3F2    |   2 |             13992.14    |    L10405
                     |        |   3 |             14899.80    |    L10405
                     |        |     |                         |           
5d3.(4F).6s          | 5F     |   3 |             15038.04    |    L10405
                     |        |     |                         |           
5d4                  | 3P2    |   2 |             16621.08    |    L10405
                     |        |     |                         |           
5d4                  | 3H     |   5 |             16723.24    |    L10405
                     |        |     |                         |           
5d3.(4F).6s          | 5F     |   4 |             17380.40    |    L10405
                     |        |     |                         |           
5d4                  | 3F2    |   4 |             18376.40    |    L10405
                     |        |     |                         |           
5d4                  | 3H     |   6 |             18380.90    |    L10405
                     |        |     |                         |           
5d3.(4F).6s          | 5F     |   5 |             19632.05    |    L10405
                     |        |     |                         |           
5d4                  | 3G     |   3 |             19851.87    |    L10405
                     |        |   4 |             20432.53    |    L10405
                     |        |     |                         |           
5d4                  | 3D     |   2 |             20696.62    |    L10405
                     |        |   3 |             22212.08    |    L10405
                     |        |     |                         |           
5d3.(4P).6s          | 5P     |   2 |             22955.03    |    L10405
                     |        |   1 |             23080.82    |    L10405
                     |        |     |                         |           
5d4                  | 3G     |   5 |             23317.80    |    L10405
                     |        |     |                         |           
5d4                  | 3D     |   1 |             24097.14    |    L10405
                     |        |     |                         |           
                     |        |   2 |             24490.58    |    L10405
                     |        |     |                         |           
5d4                  | 1I     |   6 |             25963.79    |    L10405
                     |        |     |                         |           
5d4                  | 1G2    |   4 |             26588.54    |    L10405
                     |        |     |                         |           
5d3.(4P).6s          | 5P     |   3 |             27252.53    |    L10405
                     |        |     |                         |           
5d2.6s2              | 1S     |   0 |             27726.22    |    L10405
                     |        |     |                         |           
5d3.(4F).6s          | 3F     |   2 |             28062.95    |    L10405
                     |        |   3 |             28391.09    |    L10405
                     |        |     |                         |           
5d3.(2H).6s          | 3H     |   4 |             28977.44    |    L10405
                     |        |     |                         |           
5d4                  | 1F     |   3 |             29245.28    |    L10405
                     |        |     |                         |           
5d3.(2P).6s          | 3P     |   0 |             29512.01    |    L10405
                     |        |   2 |             29800.86    |    L10405
                     |        |   1 |             29855.75    |    L10405
                     |        |     |                         |           
5d3.(2G).6s          | 3G     |   4 |             30507.27    |    L10405
                     |        |   5 |             31211.76    |    L10405
                     |        |   3 |             31821.76    |    L10405
                     |        |     |                         |           
                     |        |   1 |             31838.58    |    L10405
                     |        |     |                         |           
                     |        |   4 |             33631.43    |    L10405
                     |        |     |                         |           
                     |        |   2 |             33972.34    |    L10405
                     |        |     |                         |           
5d3.(2H).6s          | 3H     |   6 |             35429.01    |    L10405
                     |        |     |                         |           
                     |        |   3 |             36226.46    |    L10405
                     |        |     |                         |           
                     |        |   2 |             36353.31    |    L10405
                     |        |     |                         |           
                     |        |   4 |             36467.29    |    L10405
                     |        |     |                         |           
5d3.(2H).6s          | 3H     |   5 |             36904.37    |    L10405
                     |        |     |                         |           
5d3.(4F).6s          | 3F     |   4 |             37769.78    |    L10405
                     |        |     |                         |           
                     |        |   1 |             37808.94    |    L10405
                     |        |     |                         |           
5d3.(2D2).6s         | 3D     |   3 |             39321.27    |    L10405
                     |        |     |                         |           
                     |        |   2 |             39344.94    |    L10405
                     |        |     |                         |           
5d3.(2H).6s          | 1H     |   5 |             41322.55    |    L10405
                     |        |     |                         |           
5d3.(2F).6s          | 3F     |   2 |             41403.97    |    L10405
                     |        |     |                         |           
5d3.(2P).6s          | 1P     |   1 |             41570.01    |    L10405
                     |        |     |                         |           
5d3.(2F).6s          | 3F     |   3 |             42615.95    |    L10405
                     |        |   4 |             43378.25    |    L10405
                     |        |     |                         |           
                     |        |   2 |             45388.55    |    L10405
                     |        |     |                         |           
5d3.(4P).6s          | 3P     |   2 |             46259.17    |    L10405
                     |        |     |                         |           
                     |        |   4 |             47181.63    |    L10405
                     |        |     |                         |           
5d4                  | 1D1    |   2 |             47577.82    |    L10405
                     |        |     |                         |           
5d3.(4P).6s          | 3P     |   1 |             47995.45    |    L10405
                     |        |     |                         |           
5d2.6s2              | 3F     |   2 |             50539.59    |    L10405
                     |        |   3 |             51002.73    |    L10405
                     |        |     |                         |           
5d3.(2F).6s          | 1F     |   3 |             52568.07    |    L10405
                     |        |     |                         |           
5d2.6s2              | 3F     |   4 |             55564.60    |    L10405
                     |        |     |                         |           
5d3.(2D1).6s         | 3D     |   2 |             56632.80    |    L10405
                     |        |   1 |             56732.38    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 5G*    |   2 |             57231.04    |    L10405
                     |        |     |                         |           
5d3.(2D1).6s         | 3D     |   3 |             57384.91    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 5F*    |   1 |             60195.86    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 5G*    |   3 |             61488.36    |    L10405
                     |        |     |                         |           
                     |        |   2 |             62821.85    |    L10405
                     |        |     |                         |           
