3d4<3/2>.3d2<5/2>                     | (0,4)      |   4 |                     0     |    L16374
                                      |            |     |                           |           
3d4<3/2>.3d2<5/2>                     | (0,2)      |   2 |                 62380     |    L16374
                                      |            |     |                           |           
3d4<3/2>.3d2<5/2>                     | (0,0)      |   0 |               (208000)+x  |    L16374
                                      |            |     |                           |           
3d3<3/2>.3d3<5/2>                     | (3/2,9/2)  |   3 |                508030     |    L16374
                                      |            |   4 |                519780     |    L16374
                                      |            |     |                           |           
3d3<3/2>.3d3<5/2>                     | (3/2,3/2)  |   1 |               (545000)    |    L16374
                                      |            |     |                           |           
3d3<3/2>.3d3<5/2>                     | (3/2,9/2)  |   6 |               (583000)    |    L16374
                                      |            |   5 |                583670     |    L16374
                                      |            |     |                           |           
3d3<3/2>.3d3<5/2>                     | (3/2,3/2)  |   2 |               (639000)    |    L16374
                                      |            |   3 |                650910     |    L16374
                                      |            |   0 |               (729000)    |    L16374
                                      |            |     |                           |           
3d3<3/2>.3d3<5/2>                     | (3/2,5/2)  |   4 |                761210     |    L16374
                                      |            |   2 |                766950     |    L16374
                                      |            |   1 |                768980+x   |    L16374
                                      |            |   3 |                782530     |    L16374
