3d3<3/2>                | (3/2,0)  |  3/2 |                     0     |    L16374
                        |          |      |                           |           
3d2<3/2>.3d<5/2>        | (2,5/2)  |  5/2 |                530030     |    L16374
                        |          |  3/2 |                580860     |    L16374
                        |          |  7/2 |               (610000)    |    L16374
                        |          |  9/2 |               (610000)+x  |    L16374
                        |          |  1/2 |                623950     |    L16374
                        |          |      |                           |           
3d2<3/2>.3d<5/2>        | (0,5/2)  |  5/2 |                812220     |    L16374
                        |          |      |                           |           
3d<3/2>.3d2<5/2>        | (3/2,4)  |  7/2 |              (1126000)    |    L16374
                        |          |  9/2 |              (1164000)    |    L16374
                        |          |      |                           |           
3d<3/2>.3d2<5/2>        | (3/2,2)  |  3/2 |              (1206000)    |    L16374
                        |          |  1/2 |              (1230000)    |    L16374
                        |          |      |                           |           
3d<3/2>.3d2<5/2>        | (3/2,4)  | 11/2 |               1243510+x   |    L16374
                        |          |  5/2 |              (1244000)    |    L16374
                        |          |      |                           |           
3d<3/2>.3d2<5/2>        | (3/2,2)  |  5/2 |              (1315000)    |    L16374
                        |          |  7/2 |              (1320000)    |    L16374
                        |          |      |                           |           
3d<3/2>.3d2<5/2>        | (3/2,0)  |  3/2 |              (1482000)    |    L16374
