4f13.5p6                 | 2F*      | 7/2 |                  0     |    L18778
                         |          |     |                        |           
4f14.5p5                 | 2P*      | 3/2 |               1233     |    L18778
                         |          |     |                        |           
4f13.5p6                 | 2F*      | 5/2 |              17410     |    L18778
                         |          |     |                        |           
4f14.5p5                 | 2P*      | 1/2 |              89123     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 9/2 |             377119     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,3/2)<2>.5d | (2,5/2)  | 3/2 |             377288     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 5/2 |             377867     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 9/2 |             380899     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,3/2)<2>.5d | (2,5/2)  | 7/2 |             382019     |    L18778
                         |          | 5/2 |             383133     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<4>.5d | (4,3/2)  | 9/2 |             384400     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 5/2 |             386704     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 9/2 |             391541     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             393992     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<1>.5d | (1,5/2)  | 5/2 |             395276     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 7/2 |             395471     |    L18778
                         |          |     |                        |           
4f14.5p4.5d              |          | 1/2 |             395474     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 7/2 |             396505     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 3/2 |             396894     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             397612     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<4>.5d | (4,5/2)  | 9/2 |             398707     |    L18778
                         |          |     |                        |           
4f12.(3F<4>).5p6.5d      | (4,3/2)  | 9/2 |             400203     |    L18778
                         |          |     |                        |           
4f14.5p4.5d              |          | 5/2 |             401984     |    L18778
                         |          |     |                        |           
4f12.(3H<5>).5p6.5d      | (5,3/2)  | 9/2 |             405907     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             408086     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             408833     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             409362     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             409676     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<4>.5d | (4,5/2)  | 3/2 |             410258     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             410654     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             411819     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             411832     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 9/2 |             413450     |    L18778
                         |          |     |                        |           
4f12.(3F<3>).5p6.5d      | (3,3/2)  | 7/2 |             414888     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             415852     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 9/2 |             416481     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             417394     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 9/2 |             418403     |    L18778
                         |          |     |                        |           
4f12.(3H<5>).5p6.5d      | (5,5/2)  | 7/2 |             419585     |    L18778
                         |          | 5/2 |             419811     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             424781     |    L18778
                         |          |     |                        |           
4f12.(3H<4>).5p6.5d      | (4,5/2)  | 3/2 |             425843     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             428199     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             428216     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             428777     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             430708     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             432963     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             435561     |    L18778
                         |          |     |                        |           
4f14.5p4.(1D<2>).5d      | (2,3/2)  | 7/2 |             435658     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             437149     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 7/2 |             439561     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             445286     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             447909     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             452821     |    L18778
                         |          |     |                        |           
4f12.(1I<6>).5p6.5d      | (6,5/2)  | 7/2 |             454067     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,1/2)<4>.5d | (4,5/2)  | 5/2 |             457652     |    L18778
                         |          |     |                        |           
4f12.(1I<6>).5p6.5d      | (6,5/2)  | 9/2 |             457815     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             458380     |    L18778
                         |          |     |                        |           
4f12.(3P<0>).5p6.5d      | (0,5/2)  | 5/2 |             459570     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,1/2)<2>.5d | (2,3/2)  | 3/2 |             462927     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             466219     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 5/2 |             468034     |    L18778
                         |          |     |                        |           
4f12.(3P<1>).5p6.5d      | (1,5/2)  | 5/2 |             468523     |    L18778
                         |          |     |                        |           
