5s2.5p3              | 4S*    | 3/2 |                0.0    |    L11173
                     |        |     |                       |           
5s2.5p3              | 2D*    | 3/2 |            13267.0    |    L11173
                     |        | 5/2 |            17510.7    |    L11173
                     |        |     |                       |           
5s2.5p3              | 2P*    | 1/2 |            28036.4    |    L11173
                     |        | 3/2 |            35649.6    |    L11173
                     |        |     |                       |           
5s.5p4               | 4P     | 5/2 |            99663.8    |    L11502
                     |        | 3/2 |           106923.2    |    L11502
                     |        | 1/2 |           109254.4    |    L11502
                     |        |     |                       |           
5s.5p4               | 2D     | 3/2 |           121928.9    |    L11502
                     |        | 5/2 |           125474.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 2P     | 3/2 |           133027.4    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4F     | 3/2 |           134980.6    |    L11502
                     |        | 5/2 |           136495.9    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 2P     | 1/2 |           136796.3    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4F     | 7/2 |           141624.8    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2F     | 5/2 |           141824.4    |    L11502
                     |        | 7/2 |           145011.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4D     | 1/2 |           145105.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4F     | 9/2 |           145991.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4D     | 3/2 |           146206.5    |    L11502
                     |        | 5/2 |           148685.0    |    L11502
                     |        |     |                       |           
5s.5p4               | 2S     | 1/2 |           150737.3    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4D     | 7/2 |           155863.9    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6s      | 4P     | 1/2 |           157205.0    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4P     | 5/2 |           159642.8    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2G     | 7/2 |           160665.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 4P     | 3/2 |           161434.7    |    L11502
                     |        | 1/2 |           162866.5    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2G     | 9/2 |           163463.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 2D     | 3/2 |           163596.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6s      | 4P     | 3/2 |           165280.0    |    L11502
                     |        |     |                       |           
5s.5p4               | 2P     | 3/2 |           165995.3    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6s      | 2P     | 1/2 |           167206.4    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 2D     | 5/2 |           169001.5    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6s      | 4P     | 5/2 |           170490.3    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2P     | 1/2 |           172892.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6s      | 2P     | 3/2 |           173221.8    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 2F     | 5/2 |           176041.9    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2D     | 3/2 |           176122.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).5d      | 2F     | 7/2 |           177923.3    |    L11502
                     |        |     |                       |           
5s.5p4               | 2P     | 1/2 |           177951.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2D     | 5/2 |           179000.5    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4G*    | 5/2 |           180151.5    |    L11502
                     |        | 7/2 |           182219.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2P     | 3/2 |           182571.0    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6s      | 2D     | 5/2 |           186048.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4D*    | 1/2 |           186109.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4D*    | 7/2 |           187532.9    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6s      | 2D     | 3/2 |           187546.9    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4G*    | 9/2 |           188251.8    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).5d      | 2S     | 1/2 |           188272.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 2D*    | 5/2 |           188720.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 2G*    | 7/2 |           189842.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(1S).5d      | 2D     | 5/2 |           190030.5    |    L11502
                     |        | 3/2 |           190369.3    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4D*    | 3/2 |           190792.5    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4F*    | 3/2 |           191858.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4D*    | 5/2 |           191978.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 2S*    | 1/2 |           193860.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4D*    | 3/2 |           195784.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4F*    | 7/2 |           196325.2    |    L11502
                     |        | 5/2 |           196506.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 4D*    | 1/2 |           196654.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 2D*    | 3/2 |           196724.9    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4D*    | 5/2 |           198943.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 2D*    | 3/2 |           199397.0    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 2D*    | 5/2 |           200486.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4P*    | 1/2 |           200899.4    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4S*    | 3/2 |           201027.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(1S).6s      | 2S     | 1/2 |           202054.6    |    L11173
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 2G*    | 9/2 |           202076.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4D*    | 7/2 |           202951.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4P*    | 3/2 |           204140.0    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).4f      | 2F*    | 5/2 |           205205.0    |    L11502
                     |        | 7/2 |           205216.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 2P*    | 3/2 |           206061.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).4f      | 2G*    | 9/2 |           206216.2    |    L11502
                     |        | 7/2 |           206713.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 4P*    | 5/2 |           207056.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 2F*    | 5/2 |           208621.1    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).6p      | 2P*    | 1/2 |           209343.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).4f      | 2D*    | 3/2 |           213735.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6p      | 2F*    | 5/2 |           215625.5    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6p      | 2D*    | 3/2 |           216141.0    |    L11502
                     |        | 5/2 |           216910.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6p      | 2F*    | 7/2 |           217239.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).4f      | 2D*    | 5/2 |           219001.7    |    L11502
                     |        |     |                       |           
5s2.5p2.(3P).4f      | 2F*    | 7/2 |           219717.3    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6p      | 2P*    | 1/2 |           220081.6    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).4f      | 2P*    | 1/2 |           220789.8    |    L11502
                     |        |     |                       |           
5s2.5p2.(1D).6p      | 2P*    | 3/2 |           224498.2    |    L11502
                     |        |     |                       |           
5s2.5p2.(1S).4f      | 2F*    | 7/2 |           228975.4    |    L11502
                     |        |     |                       |           
5s2.5p2.(1S).6p      | 2P*    | 1/2 |           232811.4    |    L11502
                     |        | 3/2 |           235560.7    |    L11502
