1s              | 2S     | 1/2 |                  0     |     L7188
                |        |     |                        |           
2p              | 2P*    | 1/2 |         (248873200)    |     L7188
                |        |     |                        |           
2s              | 2S     | 1/2 |         (248930800)    |     L7188
                |        |     |                        |           
2p              | 2P*    | 3/2 |         (252320500)    |     L7188
                |        |     |                        |           
3p              | 2P*    | 1/2 |         (296058000)    |     L3620
                |        |     |                        |           
3s              | 2S     | 1/2 |         (296077000)    |     L3620
                |        |     |                        |           
3d              | 2D     | 3/2 |         (297080000)    |     L3620
                |        |     |                        |           
3p              | 2P*    | 3/2 |         (297082000)    |     L3620
                |        |     |                        |           
3d              | 2D     | 5/2 |         (297396000)    |     L3620
