3s                 | 2S     | 1/2 |                  0     |    L10677
                   |        |     |                        |           
3p                 | 2P*    | 1/2 |             806985     |    L10677
                   |        | 3/2 |            1501276     |    L10677
                   |        |     |                        |           
3d                 | 2D     | 3/2 |            2523660     |    L10677
                   |        | 5/2 |            2679380     |    L10677
                   |        |     |                        |           
4s                 | 2S     | 1/2 |           12263000     |    L10677
                   |        |     |                        |           
4p                 | 2P*    | 1/2 |           12596000     |    L10677
                   |        | 3/2 |           12880000     |    L10677
                   |        |     |                        |           
4d                 | 2D     | 3/2 |           13260300     |    L10677
                   |        | 5/2 |           13331400     |    L10677
                   |        |     |                        |           
4f                 | 2F*    | 5/2 |           13535960     |    L10629
                   |        | 7/2 |           13565090     |    L10629
                   |        |     |                        |           
5s                 | 2S     | 1/2 |           17707860     |    L10629
                   |        |     |                        |           
5p                 | 2P*    | 1/2 |           17876490     |    L10629
                   |        | 3/2 |           18018300     |    L10629
                   |        |     |                        |           
5d                 | 2D     | 3/2 |           18207450     |    L10629
                   |        | 5/2 |           18242330     |    L10629
                   |        |     |                        |           
5f                 | 2F*    | 5/2 |           18342070     |    L10629
                   |        | 7/2 |           18356850     |    L10629
                   |        |     |                        |           
5g                 | 2G     | 7/2 |           18371490     |    L10629
                   |        | 9/2 |           18380270     |    L10629
                   |        |     |                        |           
6s                 | 2S     | 1/2 |           20588070     |    L10629
                   |        |     |                        |           
6p                 | 2P*    | 1/2 |           20684390     |    L10629
                   |        | 3/2 |           20765470     |    L10629
                   |        |     |                        |           
6d                 | 2D     | 3/2 |           20872670     |    L10629
                   |        | 5/2 |           20892990     |    L10629
                   |        |     |                        |           
6f                 | 2F*    | 5/2 |           20951570     |    L10629
                   |        | 7/2 |           20960220     |    L10629
