3p6.3d10                | 1S          |   0 |                   0     |     L9247
                        |             |     |                         |           
3p6.3d9.4s              | (5/2,1/2)   |   2 |             4771000     |     L6463
                        |             |     |                         |           
3p6.3d9.4s              | (3/2,1/2)   |   2 |             4878000     |     L6463
                        |             |     |                         |           
3p6.3d9.4p              | 3P*         |   1 |             5310820     |     L9247
                        |             |     |                         |           
3p6.3d9.4p              | 1P*         |   1 |             5356130     |     L9247
                        |             |     |                         |           
3p6.3d9.4p              | 3D*         |   1 |             5456880     |     L9247
                        |             |     |                         |           
3p6.3d9.4d              | (3/2,3/2)   |   0 |             6356540     |     L7286
                        |             |     |                         |           
3p6.3d9.4f              | 3P*         |   1 |             6757000     |     L7286
                        |             |     |                         |           
3p6.3d9.4f              | 3D*         |   1 |             6841000     |     L6463
                        |             |     |                         |           
3p6.3d9.4f              | 1P*         |   1 |             7019000     |     L6463
                        |             |     |                         |           
3p5.3d10.4s             | (1/2,1/2)*  |   1 |             7375000     |     L7286
