3p6.3d9          | 2D     |  5/2 |               0.0    |       L9171
                 |        |  3/2 |            2759.1    |            
                 |        |      |                      |             
3p6.3d8.(3F).4s  | 4F     |  9/2 |          128729.8    |            
                 |        |  7/2 |          130366.1    |            
                 |        |  5/2 |          131804.5    |            
                 |        |  3/2 |          132777.3    |            
                 |        |      |                      |             
3p6.3d8.(3F).4s  | 2F     |  7/2 |          135951.2    |            
                 |        |  5/2 |          138479.4    |            
                 |        |      |                      |             
3p6.3d8.(1D).4s  | 2D     |  5/2 |          148179.7    |            
                 |        |  3/2 |          149190.8    |            
                 |        |      |                      |             
3p6.3d8.(3P).4s  | 4P     |  3/2 |          151249.5    |            
                 |        |  1/2 |          151392.4    |            
                 |        |  5/2 |          151574.3    |            
                 |        |      |                      |             
3p6.3d8.(3P).4s  | 2P     |  3/2 |          157074.8    |            
                 |        |  1/2 |          157929.5    |            
                 |        |      |                      |             
3p6.3d8.(1G).4s  | 2G     |  9/2 |          160886.0    |            
                 |        |  7/2 |          160919.0    |            
                 |        |      |                      |             
3p6.3d8.(1S).4s  | 2S     |  1/2 |          199369.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4D*    |  7/2 |          201319.0    |            
                 |        |  5/2 |          203684.6    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4G*    |  9/2 |          204447.0    |            
                 |        | 11/2 |          205261.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4D*    |  3/2 |          205453.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4G*    |  7/2 |          205991.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4D*    |  1/2 |          206513.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4G*    |  5/2 |          207175.3    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4F*    |  9/2 |          207737.0    |            
                 |        |  7/2 |          208921.3    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 2G*    |  9/2 |          208970.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 4F*    |  5/2 |          209899.0    |            
                 |        |  3/2 |          210187.1    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 2G*    |  7/2 |          211189.5    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 2D*    |  5/2 |          211569.7    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 2F*    |  7/2 |          211823.7    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 2D*    |  3/2 |          213479.8    |            
                 |        |      |                      |             
3p6.3d8.(3F).4p  | 2F*    |  5/2 |          214167.3    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 4P*    |  3/2 |          221426.2    |            
                 |        |  5/2 |          221737.4    |            
                 |        |  1/2 |          222120.0    |            
                 |        |      |                      |             
3p6.3d8.(1D).4p  | 2F*    |  5/2 |          223609.4    |            
                 |        |      |                      |             
3p6.3d8.(1D).4p  | 2D*    |  3/2 |          224997.6    |            
                 |        |      |                      |             
3p6.3d8.(1D).4p  | 2F*    |  7/2 |          225032.5    |            
                 |        |      |                      |             
3p6.3d8.(1D).4p  | 2P*    |  1/2 |          225414.0    |            
                 |        |      |                      |             
3p6.3d8.(1D).4p  | 2D*    |  5/2 |          226050.2    |            
                 |        |      |                      |             
3p6.3d8.(1D).4p  | 2P*    |  3/2 |          226684.9    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 4D*    |  5/2 |          229162.8    |            
                 |        |  3/2 |          229230.9    |            
                 |        |  1/2 |          229252.8    |            
                 |        |  7/2 |          229877.9    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 2D*    |  5/2 |          231693.0    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 2P*    |  3/2 |          232245.7    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 2D*    |  3/2 |          232938.1    |            
                 |        |      |                      |             
3p6.3d8.(1G).4p  | 2H*    |  9/2 |          232981.0    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 2P*    |  1/2 |          234493.9    |            
                 |        |      |                      |             
3p6.3d8.(1G).4p  | 2H*    | 11/2 |          234623.0    |            
                 |        |      |                      |             
3p6.3d8.(1G).4p  | 2F*    |  7/2 |          234802.2    |            
                 |        |      |                      |             
3p6.3d8.(3P).4p  | 2S*    |  1/2 |          235975.5    |            
                 |        |      |                      |             
3p6.3d8.(1G).4p  | 2F*    |  5/2 |          236109.3    |            
                 |        |      |                      |             
