2p6.3s2            | 1S     |   0 |                 0     |     L9171
                   |        |     |                       |           
3s.3p              | 3P*    |   0 |            295248     |          
                   |        |   1 |            306361     |          
                   |        |   2 |            336699     |          
                   |        |     |                       |           
3s.3p              | 1P*    |   1 |            453375     |          
                   |        |     |                       |           
3p2                | 3P     |   0 |            702263     |          
                   |        |     |                       |           
3p2                | 1D     |   2 |            721495     |          
                   |        |     |                       |           
3p2                | 3P     |   1 |            726491     |          
                   |        |   2 |            763375     |          
                   |        |     |                       |           
3p2                | 1S     |   0 |            855309     |          
                   |        |     |                       |           
3s.3d              | 3D     |   1 |            866723     |          
                   |        |   2 |            869280     |          
                   |        |   3 |            873355     |          
                   |        |     |                       |           
3s.3d              | 1D     |   2 |            970492     |          
                   |        |     |                       |           
3p.3d              | 3F*    |   2 |           1182908     |          
                   |        |   3 |           1203780     |          
                   |        |     |                       |           
3p.3d              | 1D*    |   2 |           1218687     |          
                   |        |     |                       |           
3p.3d              | 3F*    |   4 |           1229421     |          
                   |        |     |                       |           
3p.3d              | 3D*    |   1 |           1251919     |          
                   |        |   2 |           1258933     |          
                   |        |   3 |           1278949     |          
                   |        |     |                       |           
3p.3d              | 3P*    |   0 |           1281809     |          
                   |        |   1 |           1282212     |          
                   |        |   2 |           1283253     |          
                   |        |     |                       |           
3p.3d              | 1F*    |   3 |           1361498     |          
                   |        |     |                       |           
3p.3d              | 1P*    |   1 |           1376746     |          
                   |        |     |                       |           
3d2                | 3F     |   2 |           1751233     |          
                   |        |   3 |           1755640     |          
                   |        |   4 |           1760664     |          
                   |        |     |                       |           
3d2                | 1G     |   4 |           1802536     |          
                   |        |     |                       |           
3s.4s              | 3S     |   1 |           2657000     |          
                   |        |     |                       |           
3s.4p              | 1P*    |   1 |           2823000     |          
                   |        |     |                       |           
3s.4d              | 3D     |   1 |           2993000     |          
                   |        |   2 |           3003100     |          
                   |        |   3 |           3007100     |          
                   |        |     |                       |           
3s.4d              | 1D     |   2 |           3008600     |          
                   |        |     |                       |           
3s.4f              | 3F*    |   4 |           3101000     |          
                   |        |   3 |           3102000     |          
                   |        |     |                       |           
3s.4f              | 1F*    |   3 |           3126400     |          
                   |        |   3 |           3141000     |          
                   |        |     |                       |           
3p.4f              | 3F     |   4 |           3442000     |          
                   |        |     |                       |           
3p.4f              | 3D     |   2 |           3455000     |          
                   |        |     |                       |           
3p.4f              | 3G     |   4 |           3459000     |          
                   |        |     |                       |           
3p.4f              | 1F     |   3 |           3483000     |          
                   |        |     |                       |           
3p.4f              | 3D     |   1 |           3491000     |          
                   |        |     |                       |           
3p.4f              | 3G     |   5 |           3493600     |          
                   |        |     |                       |           
3p.4f              | 1G     |   4 |           3527000     |          
                   |        |     |                       |           
3s.5d              | 3D     |   3 |           3971700     |          
                   |        |   2 |           3972000     |          
                   |        |   1 |           4007000     |          
                   |        |     |                       |           
3s.5f              | 3F*    |   4 |           4018000     |          
