2p6.3s             | 2S     | 1/2 |                0     |     L9171
                   |        |     |                      |           
2p6.3p             | 2P*    | 1/2 |           347003     |          
                   |        | 3/2 |           390060     |          
                   |        |     |                      |           
2p6.3d             | 2D     | 3/2 |           858830     |          
                   |        | 5/2 |           865899     |          
                   |        |     |                      |           
2p6.4s             | 2S     | 1/2 |          2781040     |          
                   |        |     |                      |           
2p6.4p             | 2P*    | 1/2 |          2920300     |          
                   |        | 3/2 |          2937400     |          
                   |        |     |                      |           
2p6.4d             | 2D     | 3/2 |          3111100     |          
                   |        | 5/2 |          3114200     |          
                   |        |     |                      |           
2p6.4f             | 2F*    | 5/2 |          3194350     |          
                   |        | 7/2 |          3195600     |          
                   |        |     |                      |           
2p6.5p             | 2P*    | 1/2 |          4052800     |          
                   |        | 3/2 |          4061100     |          
                   |        |     |                      |           
2p6.5d             | 2D     | 3/2 |          4143400     |          
                   |        | 5/2 |          4145000     |          
                   |        |     |                      |           
2p6.5f             | 2F*    | 5/2 |          4185000     |          
                   |        | 7/2 |          4185400     |          
                   |        |     |                      |           
2p6.5g             | 2G     | 7/2 |          4190300     |          
                   |        | 9/2 |          4190800     |          
                   |        |     |                      |           
2p6.6d             | 2D     | 3/2 |          4703200     |          
                   |        | 5/2 |          4704100     |          
                   |        |     |                      |           
2p6.6f             | 2F*    | 5/2 |          4724500     |          
                   |        | 7/2 |          4724800     |          
                   |        |     |                      |           
2p6.7f             | 2F*    | 5/2 |          5048000     |          
                   |        | 7/2 |          5048000     |          
