2s2.2p4                | 3P     |   2 |                   0     |     L9171
                       |        |   0 |              110340     |          
                       |        |   1 |              179060     |          
                       |        |     |                         |           
2s2.2p4                | 1D     |   2 |              267120     |          
                       |        |     |                         |           
2s2.2p4                | 1S     |   0 |              512070     |          
                       |        |     |                         |           
2s.2p5                 | 3P*    |   2 |             1176110     |          
                       |        |   1 |             1282970     |          
                       |        |   0 |             1380580     |          
                       |        |     |                         |           
2s.2p5                 | 1P*    |   1 |             1626230     |          
                       |        |     |                         |           
2p6                    | 1S     |   0 |             2697570     |          
