4p6.4d           | 2D     |  3/2 |                0.0     |    L11645
                 |        |  5/2 |             1250.7     |    L11645
                 |        |      |                        |           
4p6.5s           | 2S     |  1/2 |            38258.35    |    L11645
                 |        |      |                        |           
4p6.5p           | 2P*    |  1/2 |            81976.50    |    L11645
                 |        |  3/2 |            84461.35    |    L11645
                 |        |      |                        |           
4p6.5d           | 2D     |  3/2 |           146652.40    |    L11645
                 |        |  5/2 |           147002.46    |    L11645
                 |        |      |                        |           
4p6.6s           | 2S     |  1/2 |           152513.0     |    L11645
                 |        |      |                        |           
4p6.4f           | 2F*    |  5/2 |           159066.75    |    L11645
                 |        |  7/2 |           159086.91    |    L11645
                 |        |      |                        |           
4p6.6p           | 2P*    |  1/2 |           169809.71    |    L11645
                 |        |  3/2 |           170815.11    |    L11645
                 |        |      |                        |           
4p6.6d           | 2D     |  3/2 |           197765.10    |    L11645
                 |        |  5/2 |           197930.43    |    L11645
                 |        |      |                        |           
4p6.7s           | 2S     |  1/2 |           200123.69    |    L11645
                 |        |      |                        |           
4p6.5f           | 2F*    |  5/2 |           201114.14    |    L11645
                 |        |  7/2 |           201162.65    |    L11645
                 |        |      |                        |           
4p6.5g           | 2G     |  7/2 |           206864.42    |    L11645
                 |        |  9/2 |           206864.68    |    L11645
                 |        |      |                        |           
4p6.7p           | 2P*    |  1/2 |           208783.36    |    L11645
                 |        |  3/2 |           209297.66    |    L11645
                 |        |      |                        |           
4p6.6f           | 2F*    |  5/2 |           224419.90    |    L11645
                 |        |  7/2 |           224488.11    |    L11645
                 |        |      |                        |           
4p6.8s           | 2S     |  1/2 |           224813.48    |    L11645
                 |        |      |                        |           
4p6.6g           | 2G     |  7/2 |           228479.86    |    L11645
                 |        |  9/2 |           228480.08    |    L11645
                 |        |      |                        |           
4p6.6h           | 2H*    | 11/2 |           228743.87    |    L11645
                 |        |  9/2 |           228743.87    |    L11645
                 |        |      |                        |           
4p6.7g           | 2G     |  7/2 |           241526.36    |    L11645
                 |        |  9/2 |           241526.52    |    L11645
                 |        |      |                        |           
4p6.8g           | 2G     |  7/2 |           249995.33    |    L11645
                 |        |  9/2 |           249995.44    |    L11645
                 |        |      |                        |           
4p6.9g           | 2G     |  7/2 |           255800.2     |    L11645
                 |        |  9/2 |           255801.5     |    L11645
