Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.9500000e+02 4.5299998e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.1500000e-02 6.5300001e-12 4.0300001e-05 0.0000000e+00 0.0000000e+00 
2.3200000e+09 1.2400000e-02 2.2700001e-02 1.5600000e-02 0.0000000e+00 
*** N IN transition probabilities
*** ATOM nitrogen
*** SPECTRUM 4
*** N_LEVELS 5
*** SOURCE2 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 269
*** NOTE2 All transition probabilities
*** GSCONFIG s2
