Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
4.8360000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
5.5440000e-03 1.4800000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00
5.2100000e-01 1.1500000e-01 3.9300000e-01 0.0000000e+00 0.0000000e+00
1.2700000e+00 4.0000000e-01 4.3720000e-01 2.6800000e-09 0.0000000e+00
*** Ne IV transition probabilities
*** ATOM neon
*** SPECTRUM 4
*** N_LEVELS 5
*** GSCONFIG unknown
*** SOURCE3 Zeippen 1982, MNRAS, 198, 111
*** NOTE3 A-values from all levels
