Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.2600000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.9700000e-09 4.5850000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.9360000e-05 1.2520000e-01 3.4990000e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.9930000e+00 6.2890000e-03 2.8340000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.3700000e+03 6.0600000e+03 1.9730000e-01 0.0000000e+00 0.0000000e+00 
*** Ne V transition probabilities
*** ATOM neon
*** SPECTRUM 5
*** N_LEVELS 6
*** SOURCE4 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE4 A-values of levels up to 5
*** SOURCE5 Unknown
*** NOTE5 A-values of 6-2 and 6-3 transitions
*** SOURCE6 Bhatia & Doschek, 1993, ADNDT, 55, 315
*** NOTE6 A-value of 6-3
*** GSCONFIG p2
