Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0120000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.5440000e+04 1.4570000e+04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.1860000e+02 3.0780000e+03 1.9670000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 1.1980000e+04 6.6620000e-09 4.4030000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 1.1780000e+09 2.4030000e-04 2.5700000e-01 1.2220000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0200000e+09 1.8450000e+08 1.0870000e-01 4.1390000e-01 1.5420000e-01 4.3690000e-07 0.0000000e+00 0.0000000e+00 
2.1640000e+09 3.4930000e+09 1.2920000e+00 6.1360000e+00 1.0780000e-02 1.2380000e+01 8.1680000e+00 0.0000000e+00 
*** Ne VI transition probabilities
*** ATOM neon
*** SPECTRUM 6
*** N_LEVELS 8
*** SOURCE3 Galavis, Mendoza & Zeippen, 1998, A&A Supp., 131, 499
*** NOTE3 All A-values
*** GSCONFIG p1
