Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.5960000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0300000e-11 9.6320000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3220000e-06 6.7909998e-03 2.0460000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.2550000e-01 6.9980000e-04 1.6850000e+00 0.0000000e+00 0.0000000e+00 
2.1910000e-03 2.3080000e+02 5.7650000e+02 5.7770000e-03 3.7600000e-11 0.0000000e+00 
*** O III transition probabilities
*** ATOM oxygen
*** SPECTRUM 3
*** N_LEVELS 6
*** GSCONFIG unknown
*** SOURCE1 Storey and Zeippen 2000, 312, 813
*** NOTE1 A values for 4-2 and 4-3
*** SOURCE2 Froese Fischer et al 2004, ADNDT 87, 1
*** NOTE2 A-values from all levels
