Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.6199999e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.1700000e-11 9.7600001e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.4100000e-06 6.7909998e-03 2.0460000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.1500000e-01 6.3400000e-04 1.7100000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.2000000e+02 5.4800000e+02 4.7399998e-03 0.0000000e+00 0.0000000e+00 
*** O III transition probabilities
*** ATOM oxygen
*** SPECTRUM 3
*** N_LEVELS 6
*** SOURCE3 Storey and Zeippen 2000, 312, 813
*** NOTE3 A values for 4-2 and 4-3
*** SOURCE4 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 403
*** NOTE4 All other A values
*** GSCONFIG p2
