Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
2.52000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
4.41000e-11 1.40000e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
2.49000e-06 6.57437e-03 1.91368e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 2.22000e-01 6.45000e-04 1.69000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
1.84000e-09 2.20000e+02 6.46000e+02 7.74000e-03 1.95000e-16 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 5.97000e-02 6.15000e+08 1.89000e+04 0.00000e+00 4.76247e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
6.03000e-02 4.71000e+08 1.48000e+08 4.33000e+03 3.27000e-07 4.78900e-04 5.78000e-17 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
3.50000e+08 2.55000e+08 1.60000e+07 2.55000e+03 1.70000e+03 1.82580e-04 9.29000e-36 2.75000e-17 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
1.95000e-02 4.55000e+08 1.40000e+09 5.48000e+03 2.37000e-07 1.40003e+00 7.12300e-01 4.46500e-01 1.14870e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
6.17000e+08 4.75000e+08 7.67000e+08 2.57000e+04 9.52000e+03 8.66653e-02 5.77000e-01 1.03000e-01 5.80200e-01 1.74000e-16 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 1.86000e+09 1.01000e-01 2.64000e-06 0.00000e+00 8.82000e-05 0.00000e+00 1.24000e+00 2.42000e-02 1.06000e-24 1.89000e-10 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
3.10000e-06 1.53000e+04 2.57000e+05 5.46000e+09 3.67000e-03 3.72002e-05 1.90044e-03 1.20210e-03 1.29120e-04 4.36044e-02 1.45011e-02 1.49000e-07 0.00000e+00 0.00000e+00 0.00000e+00
1.61000e+09 4.84000e+09 8.06000e+09 3.33000e+05 6.73000e+04 1.98000e-06 5.81000e-01 4.79036e-01 3.15001e-01 1.96009e-02 1.06000e-01 1.57000e-02 3.56158e-06 0.00000e+00 0.00000e+00
6.69000e+04 9.04000e+05 2.16000e+05 9.60000e+09 1.49000e+09 1.68900e-08 4.09000e-04 1.44112e-01 4.82570e-02 2.02100e-03 7.14500e-04 5.07000e-05 1.36000e+00 2.31000e-02 0.00000e+00
*** O III transition probabilities
*** ATOM oxygen
*** SPECTRUM 3
*** N_LEVELS 14
*** GSCONFIG unknown
*** SOURCE3 Tayal, S. S. & Zatsarinny, O. 2017, Astrophysical Journal, 850, 147
*** NOTE3 A-values from all levels
