Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.6139999e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.4150000e+02 1.0070000e+03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3118000e+01 1.4400000e+02 4.3510001e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.1109999e-03 6.5440997e+02 3.2000000e-11 7.8949997e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.0050003e+08 1.3520000e+08 6.4025000e-03 2.5664000e-02 1.1274000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.8220000e-01 8.2810003e+08 5.1229999e-05 1.6160000e-02 8.4645003e-02 6.8340000e-08 0.0000000e+00 0.0000000e+00 
1.5760000e+09 2.9700001e+09 7.8309998e-02 3.8564000e-01 9.6239999e-04 6.8810000e+00 1.0360000e+01 0.0000000e+00 
*** O IV transition probabilities
*** ATOM oxygen
*** SPECTRUM 4
*** N_LEVELS 8
*** SOURCE1 Aggarwal & Keenan 2008, A&A, 486, 1053
*** NOTE1 All A-values
*** GSCONFIG p1
