       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   1.528   1.938   2.254   2.421   2.503   2.540   2.556   2.561   2.561   2.557   2.466
       1       3   2.017   2.134   2.139   2.121   2.105   2.094   2.085   2.077   2.072   2.065   1.944
       1       4   1.046   1.149   1.231   1.275   1.294   1.299   1.296   1.290   1.283   1.274   1.140
       1       5   0.239   0.243   0.249   0.255   0.260   0.265   0.270   0.274   0.278   0.280   0.274
       2       3   7.210   8.355   8.606   8.576   8.485   8.387   8.299   8.220   8.149   8.085   7.387
       2       4   2.763   3.254   3.607   3.809   3.914   3.963   3.983   3.988   3.985   3.976   3.711
       2       5   0.793   0.814   0.831   0.845   0.857   0.873   0.886   0.899   0.910   0.920   0.896
       3       4   5.328   6.217   6.807   7.143   7.318   7.404   7.443   7.456   7.456   7.448   6.963
       3       5   1.701   1.676   1.655   1.637   1.630   1.629   1.631   1.634   1.636   1.637   1.475
       4       5   2.680   2.420   2.426   2.531   2.669   2.796   2.912   3.011   3.094   3.159   3.312
*** Rb VI collision strengths 
*** ATOM rubidium
*** SPECTRUM 6
*** N_LEVELS 5
*** GSCONFIG p2
*** T_UNIT	log(K)
*** SOURCE1	Schoning 1997 A&AS, 122, 277 
*** NOTE1	Collision strengths (Scaled from Kr V effective collision strengths)
