Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.2560000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.2610000e-04 0.0000000e-00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.8250000e-02 1.3470000e-01 6.3510000e-02 0.0000000e+00 0.0000000e+00 
1.9460000e-01 1.0970001e-01 1.4670001e-01 0.0000000e-00 0.0000000e+00 
*** ATOM sulfur
*** SPECTRUM 2
*** SOURCE2 Froese Fischer, C., Tachiev, G., & Irimia, A. 2006, Atomic Data and Nuclear Data Tables, 92, 607-812
*** NOTE2 All A values (line gauge)
*** GSCONFIG p3
