Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0100000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.9200000e-04 3.3800001e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 
9.4700000e-02 1.5700000e-01 7.1000000e-02 0.0000000e+00 0.0000000e+00 
2.4100000e-01 1.3100001e-01 1.7000001e-01 2.0600000e-06 0.0000000e+00 
*** ATOM sulfur
*** SPECTRUM 2
*** SOURCE2 Fritzsche et al 1999, ApJ, 518, 994
*** NOTE2 All A values (line gauge)
*** GSCONFIG p3
