Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0900000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1100002e-08 1.4300001e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.9700000e-06 2.0000000e-02 5.3300000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 6.8100001e-01 9.6000001e-03 2.3000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e-00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** ATOM sulfur
*** SPECTRUM 3
*** SOURCE1 Tayal, S. S., Zatsarinny, O., & Sossah, A. M. 2019, Astrophysical Journal, 242, 9
*** NOTE1 All energy and A values
