0 0  3.3     3.5     3.6     3.7      3.8     3.9     4.0     4.3     4.5     4.6     4.8     4.9  
1 2  4.912   4.949   4.961   4.9540   4.934   4.871   4.797   4.465   4.248   4.096   3.860   3.654  
1 3  1.375   1.386   1.385   1.3770   1.365   1.338   1.308   1.183   1.104   1.051   0.978   0.922  
1 4  4.312   4.294   4.284   4.2810   4.280   4.282   4.281   4.246   4.182   4.099   3.898   3.679  
1 5  0.496   0.499   0.501   0.5020   0.504   0.506   0.507   0.510   0.507   0.498   0.470   0.440  
2 3  1.440   1.459   1.476   1.4860   1.491   1.491   1.484   1.441   1.409   1.383   1.325   1.260  
2 4  2.587   2.577   2.570   2.5680   2.568   2.569   2.569   2.548   2.509   2.460   2.339   2.208  
2 5  0.298   0.299   0.300   0.3010   0.302   0.304   0.305   0.306   0.304   0.299   0.282   0.264  
3 4  0.863   0.859   0.857   0.8560   0.856   0.856   0.856   0.849   0.836   0.820   0.780   0.736  
3 5  0.099   0.100   0.100   0.1010   0.101   0.101   0.101   0.102   0.101   0.100   0.094   0.088  
4 5  1.321   1.321   1.321   1.3200   1.320   1.318   1.317   1.320   1.321   1.314   1.300   1.288  
*** Cl II collision strength data
*** SOURCE1  'Tayal 2004, Astronomy and Astrophysics, v. 418, p.363'
*** NOTE1    'Collision strengths'
