#Gal_JBK
## flam(wave) for wave in Ang, from Kaler (1976, ApJS, 31, 517)
# Average Galactic
#Ang	f(lambda)
1150.	1.96
1200.	1.78
1250.	1.61
1300.	1.49
1350.	1.37
1400.	1.29
1450.	1.24
1500.	1.20
1550.	1.20
1600.	1.20
1650.	1.17
1700.	1.13
1750.	1.11
1800.	1.10
1850.	1.12
1900.	1.17
1950.	1.25
2000.	1.35
2050.	1.45
2100.	1.53
2150.	1.60
2200.	1.62
2250.	1.52
2300.	1.40
2350.	1.28
2400.	1.17
2450.	1.06
2500.	0.98
2550.	0.90
2600.	0.84
2650.	0.77
2700.	0.72
2750.	0.68
2800.	0.64
2850.	0.60
2900.	0.57
2950.	0.53
3000.	0.51
3050.	0.48
3100.	0.46
3333.	0.385
3500.	0.358
3600.	0.33
3700.	0.306
3800.	0.278
3900.	0.248
4000.	0.220
4100.	0.195
4200.	0.168
4300.	0.143
4400.	0.118
4500.	0.095
4600.	0.065
4700.	0.040
4800.	0.015
4861.3	0.000
5000.	-0.030
5100.	-0.055
5200.	-0.078
5300.	-0.100
5400.	-0.121
5500.	-0.142
5600.	-0.164
5700.	-0.182
5800.	-0.201
5900.	-0.220
6000.	-0.238
6100.	-0.254
6200.	-0.273
6300.	-0.291
6400.	-0.306
6500.	-0.321
6600.	-0.337
6700.	-0.351
6800.	-0.365
6900.	-0.377
7000.	-0.391
7200.	-0.416
7400.	-0.441
7600.	-0.465
7800.	-0.490
8000.	-0.510
8200.	-0.529
8400.	-0.548
8600.	-0.566
8800.	-0.582
9000.	-0.597
9500.	-0.633
10000.	-0.663
11000.	-0.718
12000.	-0.763
14000.	-0.840
16000.	-0.890
20000.	-0.960
1.E+11	-1.0
