LINE         Cn1_5      Hb4   He2_86    M1_25    M1_30    M1_32    M1_61    M3_15  NGC5189  NGC6369     PC14    Pe1_1
Cl2_8579A 0.005341 0.000000 0.002242 0.003350 0.003385 0.009089 0.001759 0.000687 0.008115 0.001319 0.001207 0.003081
Ar4_4711A 0.001935 0.029333 0.002930 0.000000 0.000000 0.000000 0.002793 0.006275 0.039494 0.010470 0.011822 0.000515
Ar3_7136A 0.325207 0.233914 0.178500 0.257822 0.188661 0.321626 0.218268 0.176177 0.393591 0.187175 0.169374 0.223848
N2_5755A  0.038725 0.009576 0.024002 0.024542 0.014882 0.068280 0.021770 0.003933 0.055275 0.009475 0.004608 0.033199
S3_6312A  0.025387 0.022791 0.021188 0.019349 0.007230 0.031859 0.022124 0.013853 0.055551 0.018029 0.018156 0.018821
O1_6364A  0.025856 0.009692 0.010522 0.006970 0.004090 0.026298 0.015796 0.003602 0.063142 0.007835 0.008039 0.030159
S2_6716A  0.148110 0.032940 0.019463 0.048769 0.039092 0.108485 0.014428 0.014570 0.477892 0.028385 0.037811 0.019474
Ar3_5192A 0.001127 0.000971 0.001115 0.000000 0.000278 0.001186 0.001082 0.000000 0.000000 0.000000 0.000000 0.000000
Ar3_7751A 0.054866 0.057286 0.075417 0.060444 0.043096 0.076670 0.051772 0.042191 0.103445 0.045668 0.040585 0.054866
N1_5200A  0.011057 0.001279 0.001655 0.001958 0.002109 0.007011 0.001286 0.000000 0.027711 0.001277 0.000834 0.002686
Ar4_4740A 0.003197 0.041144 0.009680 0.000000 0.000000 0.000000 0.008772 0.009191 0.033619 0.012443 0.013926 0.001768
O1_6300A  0.078391 0.027996 0.031362 0.021107 0.012230 0.079425 0.047668 0.010801 0.189852 0.023603 0.023994 0.091018
Ne3_3869A 0.952475 1.043314 0.709869 0.103979 0.057200 0.112637 0.723378 0.544067 1.345743 0.895186 1.006900 0.783526
S2_6731A  0.260167 0.062575 0.041410 0.097155 0.074162 0.217557 0.031336 0.027446 0.578940 0.047442 0.062801 0.041050
N2_6548A  1.154797 0.267933 0.326034 0.704483 0.888470 1.513759 0.567654 0.075533 1.684188 0.108474 0.102689 0.317252
O3_4959A  2.832908 3.714963 2.703397 1.545914 0.563479 1.396402 2.969143 2.953998 3.913393 3.842659 3.943911 3.292901
S3_9531A  1.217915 0.959425 0.921395 1.252207 1.021108 1.795267 0.766285 0.705167 1.740945 0.599247 0.851247 0.671854
Ar4_7263A 0.000000 0.000978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001260 0.000347 0.000287 0.000000
O2_3729A  0.360531 0.079332 0.054742 0.222181 0.196433 0.332206 0.071607 0.048143 1.081300 0.148333 0.147055 0.149750
Cl2_9124A 0.001598 0.000416 0.000555 0.000756 0.000711 0.001781 0.000431 0.000223 0.002112 0.000286 0.000301 0.000729
Ne3_3968A 0.291394 0.322791 0.221111 0.021453 0.014845 0.038109 0.211252 0.096870 0.479631 0.275855 0.288888 0.220465
Ar4_7170A 0.000000 0.001135 0.000212 0.000000 0.000000 0.000000 0.000214 0.000000 0.001310 0.000351 0.000388 0.000000
Cl3_5518A 0.010089 0.005640 0.003466 0.004155 0.003549 0.005501 0.002607 0.004026 0.015118 0.006047 0.006295 0.002553
S2_4076A  0.020924 0.000754 0.010582 0.011091 0.005108 0.028866 0.011467 0.001851 0.028850 0.000000 0.000000 0.000000
O3_4363A  0.035919 0.073810 0.031400 0.012634 0.002123 0.023789 0.047134 0.031544 0.121661 0.093800 0.061701 0.071992
N1_5198A  0.015697 0.001903 0.002544 0.002714 0.002823 0.011101 0.001775 0.000000 0.032587 0.001165 0.001198 0.004489
O2_7330A+ 0.000000 0.019808 0.030168 0.047415 0.014702 0.117107 0.066690 0.000000 0.001377 0.031506 0.016282 0.114093
O3_5007A  8.456232 11.089163 8.065873 4.612400 1.681201 4.166316 8.863245 8.817683 11.681477 11.470337 11.772573 9.829310
O2_3726A  0.717522 0.172242 0.128174 0.517721 0.388676 0.737579 0.183970 0.112649 1.376346 0.268746 0.278248 0.378912
S3_9069A  0.493083 0.388431 0.371611 0.505032 0.411827 0.724056 0.311498 0.286653 0.707701 0.243596 0.346035 0.273112
S2_4069A  0.055460 0.021668 0.032266 0.033549 0.017128 0.082905 0.033406 0.011447 0.081329 0.000000 0.000000 0.000000
Cl3_5538A 0.012305 0.008516 0.008554 0.008715 0.005782 0.011336 0.006180 0.006948 0.013252 0.007340 0.007287 0.007023
O2_7319A+ 0.000000 0.024455 0.037541 0.058840 0.019037 0.144604 0.081996 0.000000 0.052045 0.038978 0.019929 0.141632
